"PC1","PC2","group","name","Filename","Cell","Type","Condition","Comparison","TypeII","sizeFactor","Sample"
-11.9924693244617,1.91130936168739,"Control","SRR9016146","SRR9016146","HAEC","IR_minus","Control","HAEC_IR","Control",0.981542078147757,"SRR9016146"
-11.4678965813408,-1.97952589369035,"Control","SRR9016147","SRR9016147","HAEC","IR_minus","Control","HAEC_IR","Control",0.64258357968422,"SRR9016147"
7.87721111604277,-0.293791533217484,"Senescent","SRR9016148","SRR9016148","HAEC","IR","Senescent","HAEC_IR","IR",1.09974860246428,"SRR9016148"
7.69562845059744,1.67156376700565,"Senescent","SRR9016149","SRR9016149","HAEC","IR","Senescent","HAEC_IR","IR",1.12989367681019,"SRR9016149"
7.88752633916229,-1.30955570178521,"Senescent","SRR9016150","SRR9016150","HAEC","IR","Senescent","HAEC_IR","IR",1.30086184051331,"SRR9016150"
-6.4208959526661,1.05677388709138,"Control","SRR9016151","SRR9016151","HUVEC","IR_minus","Control","HUVEC_IR","Control",1.14353825164821,"SRR9016151"
-6.31099269980944,-3.69076827744643,"Control","SRR9016152","SRR9016152","HUVEC","IR_minus","Control","HUVEC_IR","Control",0.962123029313773,"SRR9016152"
-7.5119688124017,2.46696742508607,"Control","SRR9016153","SRR9016153","HUVEC","IR_minus","Control","HUVEC_IR","Control",1.08365174358194,"SRR9016153"
6.60049078070244,0.219910634284697,"Senescent","SRR9016154","SRR9016154","HUVEC","IR","Senescent","HUVEC_IR","IR",1.09465650331187,"SRR9016154"
6.61223671293906,-2.25623042296511,"Senescent","SRR9016155","SRR9016155","HUVEC","IR","Senescent","HUVEC_IR","IR",0.916998529146392,"SRR9016155"
7.03112997123572,2.20334675394939,"Senescent","SRR9016156","SRR9016156","HUVEC","IR","Senescent","HUVEC_IR","IR",0.860929297449097,"SRR9016156"
-20.4245119496073,3.77610294881571,"Control","SRR9016157","SRR9016157","IMR_90","PDL15","Control","IMR90_IR","Control",0.998009940387367,"SRR9016157"
-19.0994488251935,-3.89309571423438,"Control","SRR9016158","SRR9016158","IMR_90","PDL15","Control","IMR90_IR","Control",0.923473261888205,"SRR9016158"
19.6128660212283,-1.47411483207862,"Senescent","SRR9016159","SRR9016159","IMR_90","IR","Senescent","IMR90_IR","IR",1.15663062213954,"SRR9016159"
19.9110947535725,1.59110759749729,"Senescent","SRR9016160","SRR9016160","IMR_90","IR","Senescent","IMR90_IR","IR",0.964839191106364,"SRR9016160"
-25.2474911046758,4.52526888347559,"Control","SRR9016157","SRR9016157","IMR_90","PDL15","Control","IMR90_RE","Control",1.05224332794655,"SRR9016157"
-24.5125603561335,-4.6310364291991,"Control","SRR9016158","SRR9016158","IMR_90","PDL15","Control","IMR90_RE","Control",0.970558459050996,"SRR9016158"
25.1381834275358,-3.6238870159215,"Senescent","SRR9016161","SRR9016161","IMR_90","PDL52","Senescent","IMR90_RE","Replicative_Exhaustion",1.0651698938375,"SRR9016161"
24.6218680332735,3.72965456164502,"Senescent","SRR9016162","SRR9016162","IMR_90","PDL52","Senescent","IMR90_RE","Replicative_Exhaustion",0.944341384115063,"SRR9016162"
-56.2148626944192,-23.747079008131,"Control","SRR9016163","SRR9016163","WI_38","Dox_minus","Control","WI38_Dox","Control",0.640579078887678,"SRR9016163"
-60.2579539535814,-22.7646015433956,"Control","SRR9016164","SRR9016164","WI_38","Dox_minus","Control","WI38_Dox","Control",0.644565456984798,"SRR9016164"
-43.3956779422658,27.4038322110824,"Senescent","SRR9016165","SRR9016165","WI_38","Dox","Senescent","WI38_Dox","Dox",0.541104583276128,"SRR9016165"
-42.482829110511,27.2358319205491,"Senescent","SRR9016166","SRR9016166","WI_38","Dox","Senescent","WI38_Dox","Dox",0.690179127230138,"SRR9016166"
45.8559300502172,-11.9406949588628,"Control","SRR9016171","SRR9016171","WI_38","Dox_minus","Control","WI38_Dox","Control",1.4429996019641,"SRR9016171"
52.8853910637958,-14.1448218152726,"Control","SRR9016172","SRR9016172","WI_38","Dox_minus","Control","WI38_Dox","Control",1.64627736579004,"SRR9016172"
53.2706525469827,10.6476658076604,"Senescent","SRR9016173","SRR9016173","WI_38","Dox","Senescent","WI38_Dox","Dox",1.73984508938524,"SRR9016173"
50.3393500397814,7.30986738637018,"Senescent","SRR9016174","SRR9016174","WI_38","Dox","Senescent","WI38_Dox","Dox",1.78146740073464,"SRR9016174"
-33.3494148951328,4.60095434921968,"Control","SRR9016167","SRR9016167","WI_38","EV","Control","WI38_HRAS","Control",1.2744677761556,"SRR9016167"
-35.8718672996416,-4.32066407504782,"Control","SRR9016168","SRR9016168","WI_38","EV","Control","WI38_HRAS","Control",0.955050851812154,"SRR9016168"
35.5754533795998,4.0834087043968,"Senescent","SRR9016169","SRR9016169","WI_38","HRAS","Senescent","WI38_HRAS","HRAS",1.02008373578785,"SRR9016169"
33.6458288151745,-4.36369897856866,"Senescent","SRR9016170","SRR9016170","WI_38","HRAS","Senescent","WI38_HRAS","HRAS",0.851748936078004,"SRR9016170"
-25.6606058036536,0.488532294771533,"Control","SRR9016175","SRR9016175","WI_38","IR_minus","Control","WI38_IR","Control",1.13012077605933,"SRR9016175"
-26.2931147101798,-0.753367524118347,"Control","SRR9016176","SRR9016176","WI_38","IR_minus","Control","WI38_IR","Control",0.920634751808097,"SRR9016176"
24.6001106854654,5.27203491668356,"Senescent","SRR9016177","SRR9016177","WI_38","IR","Senescent","WI38_IR","IR",0.925615978106437,"SRR9016177"
27.3536098283679,-5.00719968733674,"Senescent","SRR9016178","SRR9016178","WI_38","IR","Senescent","WI38_IR","IR",1.10756470395188,"SRR9016178"
-22.6785707151088,6.55017288512114,"Senescent","SRR9016179","SRR9016179","WI_38","Replicative_Exhaustion","Senescent","WI38_RE","Replicative_Exhaustion",1.03894772707207,"SRR9016179"
-27.2454992740428,-5.97330786533855,"Senescent","SRR9016180","SRR9016180","WI_38","Replicative_Exhaustion","Senescent","WI38_RE","Replicative_Exhaustion",1.20927568361159,"SRR9016180"
24.7991343560372,-0.910065044513955,"Control","SRR9016181","SRR9016181","WI_38","Proliferating","Control","WI38_RE","Control",1.0983868369709,"SRR9016181"
25.1249356331143,0.333200024731366,"Control","SRR9016182","SRR9016182","WI_38","Proliferating","Control","WI38_RE","Control",0.747451068547892,"SRR9016182"
