"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,1.29894736842105e-08,NA,-0.868981729939994,-2.25611371043319,37,"KNL1;ZWINT;SMC4;NDC80;KIF2C;CENPI;KNTC1;KIFC1;MAD2L1;NCAPG2;CENPK;SKA1;SKA3;ESPL1;SPAG5;KNSTRN;NEK2;CDCA8;SMC1A;KIF18A;KIF18B;PLK1;RAN;TUBG1","GO:0000070","mitotic sister chromatid segregation",1.29894736842105e-08,37
"GO:0000278",1e-10,1.29894736842105e-08,NA,-0.736534246982809,-2.28880002186837,132,"KIF11;CENPF;CENPE;NDC80;TPX2;PBK;TUBB6;TUBB4B;TUBA1B;KIF15;BIRC5;AURKB;KIF22;SKA1;SKA3;ESPL1;AURKA;CIT;WDHD1;NEK2;CDCA8;TUBB;KIF18A;INCENP;XRCC2;NCAPD2;KIF18B;SMC3;MYBL1;PLK1;CDC25B;HASPIN;RAN;MYBL2;NUDT15;ARPP19;TUBGCP5;TUBA4A;POLE;NEDD1;CENPW;CDT1;YEATS4;TUBG1;WEE1;PKMYT1;NOLC1;CEP250;PPP5C;ZW10;CENPC;GEM;BCL2;TUBGCP3","GO:0000278","mitotic cell cycle",1.29894736842105e-08,132
"GO:0000398",1e-10,1.29894736842105e-08,NA,-0.675009202340666,-2.16311912061923,175,"HSPA8;TRA2B;HNRNPF;SNRPB;SRSF1;SF3A3;LSM4;EIF4A3;SNU13;SNRPD1;DDX23;RBMX;SNRPG;DDX39A;HNRNPR;DHX15;SRSF10;SNRNP40;METTL3;SYNCRIP;MTREX;HNRNPA2B1;PPIL1;BUD13;SNRPD3;GEMIN5;HNRNPH1;PRPF19;NCBP1;U2AF2;LSM2;DDX46;HNRNPK;PHF5A;SF3B3;PRPF4;CDC5L;LSM5;LSM3;HNRNPA3;SART3;MAGOH;SNRPE;LSM6;HNRNPM;ZCCHC8;LSM7;SNRNP200;HTATSF1;PPIH;CWF19L2;RNPS1;TXNL4A;MAGOHB;EFTUD2;SNRPF;U2AF1;SF3B6;SNRPC;SNRPD2;CWF19L1;SRRM1;RSRC1;AQR;DHX8;PNN;PRPF8;HNRNPU;SNRPA1;USP39;DDX41;PRPF3;RBM8A;HNRNPH3;FRG1;SF3B2;GEMIN6;PRPF38A;DHX16;PRPF31;DBR1;MFAP1;DHX38;SNRNP70;SNRPA;SF3A1;CTNNBL1","GO:0000398","mRNA splicing, via spliceosome",1.29894736842105e-08,175
"GO:0006260",1e-10,1.29894736842105e-08,NA,-0.800891960727371,-2.47984166627287,126,"MCM7;MCM3;CDK1;MCM4;FAM111A;PCNA;POLQ;FEN1;MCM10;CDC6;MCM5;FAM111B;CDC45;GINS1;MCM2;POLA1;DTL;MCM6;BLM;DDX11;CHAF1A;ORC6;TICRR;RFC3;SUPT16H;RECQL4;DBF4;DNA2;POLD1;PRIM2;CHEK1;GINS2;RFC4;DHX9;GINS4;POLD2;POLD3;NASP;RFC2;PCLAF;POLE2;CDK2;MCMBP;SET;RBBP7;ORC1;RPA1;CHTF18;SSRP1;PRIM1;POLE3;RFC5;RPA2;DSCC1;DONSON;GRWD1;POLE;GINS3;DUT;RECQL;CDT1;CHAF1B;RMI1;LIG1;RMI2;ORC2;ATR;DTD1;ZPR1;POLA2;E4F1;RPA3;WRNIP1;RBMS1;ORC3;POLH;RFC1;SSBP1;WRN;LRWD1","GO:0006260","DNA replication",1.29894736842105e-08,126
"GO:0006281",1e-10,1.29894736842105e-08,NA,-0.650042362020695,-2.21458911592068,412,"CLSPN;BRCA1;CDK1;BRCA2;FAM111A;FANCI;PCNA;POLQ;RRM1;FEN1;BRIP1;H2AX;USP1;KIF22;UHRF1;FANCD2;EXO1;UBE2T;PARP1;POLA1;BLM;DDX11;WDHD1;RAD51AP1;ERCC6L;PRKDC;CHAF1A;BARD1;GEN1;ZGRF1;TICRR;RFC3;SUPT16H;PTTG1;SMC1A;FANCG;RECQL4;SMCHD1;XRCC2;DNA2;PARPBP;PIF1;RFWD3;CUL4B;RAD18;MCM8;POLD1;CHEK1;NEIL3;NUCKS1;RNF168;MMS22L;FANCA;SMC3;CENPX;RFC4;HMGB1;FANCM;RAD21;MSH2;TIMELESS;RIF1;POLD2;POLD3;MRE11;TTF2;RFC2;PCLAF;INO80C;RAD51;POLE2;CDK2;TDP1;RPA1;SSRP1;TOPBP1;TRAIP;FOXM1;RFC5;RPA2;FANCB;PSMD14;UNG;FH;MSH6;POLE;RECQL;XRCC6;CHEK2;XRCC5;RAD54L;CHAF1B;MGME1;RAD1;RBBP8;ACTL6A;DCLRE1B;DCLRE1C;RAD54B;PPP5C;NSMCE4A;PRPF19;MLH1;SLF1;USP10;MORF4L2;EME1;PARP4;RUVBL1;CDC5L;HLTF;LIG1;HROB;AUNIP;RMI2;UBE2N;PARP2;EXOSC10;UCHL5;WRAP53;RUVBL2;FANCE;RAD23B;CGAS;FZR1;ATRIP;TOP3A;SLF2;GTF2H3;BCCIP;EYA3;GTF2H2C;ATR;RAD51C;TONSL;NPM1;FANCL;XRCC4;HTATSF1;PAXX;SHLD2;RHNO1;BANF1;RPA3;RBX1;NTHL1;WRNIP1;SFR1;TRIM28;INO80;BACH1;SMC5;POLH;RNF138;XRCC3;OGG1;RFC1;INIP;WRN;MPG;MACROH2A1;ADPRS;MMS19;ZMPSTE24;GTF2H2;PAXIP1;LIG3;YY1;FANCC;PMS1;DCLRE1A;RAD51D;INO80E;USP7;RBBP4;MAD2L2;RAD51B;ERCC3;HPF1;NBN","GO:0006281","DNA repair",1.29894736842105e-08,412
"GO:0006310",1e-10,1.29894736842105e-08,NA,-0.740197136893139,-2.22170485003244,102,"BRCA1;BRCA2;HMGB2;FEN1;H2AX;EXO1;BLM;RAD51AP1;PRKDC;GEN1;RECQL4;XRCC2;PIF1;HMGB1;RAD21;MRE11;INO80C;RAD51;HMGB3;RPA1;RPA2;RECQL;XRCC6;XRCC5;RAD54L;ACTL6A;DCLRE1C;NSMCE4A;EME1;RUVBL1;LIG1;HROB;UCHL5;RUVBL2;TOP3A;PSMC3IP;RAD51C;XRCC4;RPA3;INO80;SMC5;XRCC3;WRN;PAXIP1;LIG3;YY1;RAD51D;INO80E;ENDOG;RAD51B","GO:0006310","DNA recombination",1.29894736842105e-08,102
"GO:0006325",1e-10,1.29894736842105e-08,NA,-0.612116435141318,-2.08611376082976,413,"H3C15;H3C14;H1-5;H3C2;H4C3;H3C10;H4C14;H4C15;H4C8;H2BC11;H4C4;H3C3;TOP2A;H3C8;H2AC8;H4C13;H1-2;H3C12;H2AC4;H4C2;H3C13;H1-3;H4C12;H3C7;H4C11;H1-4;H3C1;H4C6;HMGB2;DEK;H4C1;H4C5;PCNA;HMGA2;NCAPD3;NCAPG2;UHRF1;RBL1;H3C11;H2AZ1;H4C9;CHAF1A;NSD2;ASF1B;DNMT1;SMCHD1;PHF19;NUCKS1;H3C6;RNF168;MMS22L;HAT1;HMGB1;DHX9;SUV39H2;ANP32E;EZH2;HASPIN;RBBP7;RPA1;TOPBP1;MSH6;H2AZ2;YEATS4;PTMA;BAZ1B;CHAF1B;CBX3;ACTL6A;HIRIP3;SUZ12;MORC4;HMGN2;WDR5;SUV39H1;MORF4L2;DCAF1;RUVBL1;HLTF;PRKAA2;METTL4;KMT5A;CXXC1;RIOX1;RUVBL2;EED;NFKBIZ;EYA3;CTCF;TONSL;SMARCD2;BRD8;RCCD1;HTATSF1;UBN1;RHNO1;BANF1;CDYL2;HMGN4;ING3;PRMT7;TRIM28;SMYD2;PRMT5;SMARCC1;PHIP;IER3IP1;USP16;LRWD1;SFMBT1;HNRNPU;BUD23;RTF1;SAMD1;MACROH2A1;CHD1;ING5;ZMPSTE24;ING2","GO:0006325","chromatin organization",1.29894736842105e-08,413
"GO:0006334",1e-10,1.29894736842105e-08,NA,-0.890655369126537,-2.65656892851262,97,"H3C15;H3C14;H1-5;H3C2;H4C3;H3C10;H4C14;H4C15;H4C8;H2BC11;H4C4;H3C3;H3C8;H2BC17;H2BC4;H4C13;H1-2;H3C12;H4C2;H2BC3;H3C13;H2BC8;H2BC10;H2BC13;H2BC6;H1-3;H4C12;H3C7;H4C11;H1-4;H2BC7;H2BC21;H3C1;H4C6;HMGB2;H4C1;H4C5;H2AX;ATAD2;H2BC14;H3C11;H2BC15;H4C9;MCM2;H2BC9;CHAF1A;SUPT16H;ASF1B;DNAJC9;H3C6;HAT1;NASP;SET;SSRP1;POLE3;GRWD1;H1-1;CHAF1B;NAP1L4;H3-3B","GO:0006334","nucleosome assembly",1.29894736842105e-08,97
"GO:0006364",1e-10,1.29894736842105e-08,NA,-0.69840132843488,-2.21324924442879,160,"FBL;NOP56;MRTO4;EXOSC8;PA2G4;UTP20;EBNA1BP2;EIF4A3;ISG20;DKC1;POP7;NPM3;DDX21;RRP36;NOL11;EXOSC2;RRP15;RRP1B;PDCD11;EXOSC9;NOL9;LYAR;MTREX;WDR43;NOLC1;ERI1;RRP7A;NHP2;BRIX1;LAS1L;EMG1;RPP30;DDX10;SUV39H1;UTP25;BOP1;HEATR1;WDR74;NOP58;EXOSC10;EXOSC6;WDR12;IMP4;POP5;UTP15;RRP9;WBP11;LSM6;UTP11;RRP7BP;NAT10;RRP1;PIH1D1;KRR1;SBDS;DCAF13;MPHOSPH6;WDR36;DDX56;WDR55;WDR18;UTP18;PES1;DDX55;NSUN5;WDR75;TRMT112;GEMIN4;AK6;FCF1;MRM3;TRMT2B;UTP23;IMP3;RPF2;RPF1;BUD23;EXOSC3;TFB2M;UTP6;PWP1;FRG1;RBFA;NOP14;TSR3;EXOSC5;FTSJ3;DROSHA;UTP4;NVL;NOP10;ESF1;UTP14A;RPP25;TBL3;MRM1;XRN2;DDX51;MPHOSPH10;RPS17;TSR2;RRP8;DDX49;DDX54;RPS6","GO:0006364","rRNA processing",1.29894736842105e-08,160
"GO:0006397",1e-10,1.29894736842105e-08,NA,-0.601441857561429,-2.03339504768249,372,"HSPA8;TRA2B;HNRNPF;ALYREF;SNRPB;DHX9;SRSF1;SRSF7;TTF2;SF3A3;IVNS1ABP;LSM4;EIF4A3;C1QBP;THOC3;SNU13;SRSF2;SNRPD1;DDX23;RBMX;SNRPG;DDX39A;HNRNPR;DHX15;RRP1B;SRSF10;SNRNP40;METTL3;SLBP;SYNCRIP;NUDT21;MTREX;HNRNPA2B1;SRSF3;TCERG1;PPIL1;BUD13;SNRPD3;GEMIN5;YBX1;HNRNPH1;PRPF19;NCBP1;PUS7;U2AF2;TSEN15;LSM2;DDX46;PNPT1;KHDRBS3;PUF60;HNRNPK;TSEN2;THOC6;PHF5A;SF3B3;PRPF4;CPSF3;CDC5L;LSM5;LSM3;CSTF2;HNRNPA3;ALKBH5;DUS3L;SART3;LSM11;MAGOH;WBP11;PUS1;SNRPE;LSM6;HNRNPM;GEMIN2;ZCCHC8;RBM23;PDE12;RBM28;SRSF9;ZPR1;LSM7;SNRNP200;MBNL3;HTATSF1;HNRNPA0;PPIH;RBM17;RNPS1;CSTF1;TXNL4A;MAGOHB;EFTUD2;TRMT61A;TSEN54;SNRPF;TARDBP;U2AF1;SF3B6;GEMIN4;DDX20;SNRPD2;DCPS;CPSF6;SUGP2;SNRNP48;SRRM1;RSRC1;CELF1;NSUN2;AQR;CCAR2;TENT4A;DHX8;PNN;PRPF8;HNRNPU;RNGTT;SNRPA1;KHSRP;RBFOX2;USP39;DDX41;CPSF2;PRPF3;HNRNPL;RBM8A;DDX1;THRAP3;HNRNPH3;FRG1;SF3B2;PTBP1;GEMIN6;PRPF38A;DHX16;PRPF31;SSU72;RPUSD2;DBR1;MFAP1;DHX38;THOC1;SNRNP70;SRPK1;PUS7L;SNRPA;SF3A1;CTNNBL1;LARP7;THOC2;PPP1R8;KHDRBS1;TRMT6;TRMT61B;TRMT10C;SMN1;CSTF2T;XRN2;CNOT6L;METTL16;SREK1;PABPN1;TRUB2;CLP1;IWS1;SF3B5;C9orf78;RBM25;SMN2;RALY;CACTIN;BCAS2;RBMXL1;SFPQ;CPSF4;SRSF4","GO:0006397","mRNA processing",1.29894736842105e-08,372
