"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000265972","TXNIP","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]",2226.10342681539,2.49749614683096,0.0630091339495518,39.6370492701992,0,0
"ENSG00000205038","PKHD1L1","PKHD1 like 1 [Source:HGNC Symbol;Acc:HGNC:20313]",1477.25232496028,2.85994719645468,0.0682323984841174,41.914797955115,0,0
"ENSG00000168209","DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]",4592.06402620834,1.8796461840708,0.048704479168216,38.5928813154712,0,0
"ENSG00000154175","ABI3BP","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]",3856.16341528427,1.53769319066325,0.0408856003583514,37.6096517401183,1.49493680926632e-309,8.40976702052767e-306
"ENSG00000203811","H3C14","H3 clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:20503]",35890.6790287221,-1.042753379768,0.0287330798364231,-36.291041047614,2.24018067128468e-288,1.00817090930496e-284
"ENSG00000203852","H3C15","H3 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:20505]",36569.2253091461,-1.03246094887506,0.0296063017812892,-34.8730130666832,1.90749210408551e-266,7.15373122102204e-263
"ENSG00000172667","ZMAT3","zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]",7858.57288105338,1.27975587050817,0.0372419188450539,34.3633172026564,8.90959193188156e-259,2.8640519664457e-255
"ENSG00000184357","H1-5","H1.5 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4719]",29996.547512884,-0.998936964560629,0.0292173421493239,-34.1898643434185,3.4205373486754e-256,9.62111642748673e-253
"ENSG00000000971","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]",8084.35118381122,1.23334145597043,0.0367747553262774,33.5377202384578,1.35967302544715e-246,3.39948471317909e-243
"ENSG00000276368","H2AC14","H2A clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4727]",23383.0557443521,-1.04019140791168,0.031027428389422,-33.5248991587813,2.09077231406025e-246,4.70465586109837e-243
"ENSG00000111799","COL12A1","collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]",7720.46338226955,1.22823135040552,0.0368219185904802,33.3559846260445,5.96543619528342e-244,1.22031132060243e-240
"ENSG00000105825","TFPI2","tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]",2480.37651896449,-1.7333628187962,0.0520774653053968,-33.2843161361882,6.51136423438141e-243,1.22098931668375e-239
"ENSG00000176014","TUBB6","tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]",48540.5202219731,-0.919077000680199,0.0278384888875668,-33.0146152828962,5.01166912052345e-239,8.67481373461682e-236
"ENSG00000112414","ADGRG6","adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]",25475.4103338513,1.03960687365305,0.031993012051051,32.4948108041266,1.26235030627019e-231,2.02895761369228e-228
"ENSG00000270882","H4C14","H4 clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4794]",28067.9859424132,-0.982868149393275,0.0311434948590491,-31.5593402038401,1.3349725944246e-218,2.00263688798282e-215
"ENSG00000131016","AKAP12","A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]",28104.8087690287,-1.10170295847625,0.0349946353742269,-31.4820527973736,1.52947662276969e-217,2.15101768534773e-214
"ENSG00000270276","H4C15","H4 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:29607]",28046.4573670939,-0.982700464726413,0.0312894398355065,-31.4067771712317,1.63513871828165e-216,2.16434655522198e-213
"ENSG00000171848","RRM2","ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]",8989.23663868081,-1.13841683523991,0.0362863737214804,-31.3731221526278,4.70782951723814e-216,5.88530998871626e-213
"ENSG00000274997","H2AC12","H2A clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13671]",14471.469376146,-1.0811040243302,0.0344736890079922,-31.3602650438588,7.04924864937198e-216,8.34853647937728e-213
"ENSG00000144810","COL8A1","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]",36193.1432582664,0.943137345850563,0.0301633328333188,31.2676769195996,1.28402985438366e-214,1.44466198916706e-211
"ENSG00000176170","SPHK1","sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]",8557.53954340508,-1.06379102383018,0.0342272389645416,-31.080246494093,4.45390967097955e-212,4.77247025792294e-209
"ENSG00000277775","H3C7","H3 clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4773]",12401.1926024616,-1.00779142974901,0.0326121237303016,-30.9023551512107,1.11053212910558e-209,1.13587245314245e-206
"ENSG00000128567","PODXL","podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]",7914.78743310724,-1.11612908142089,0.0364593171139663,-30.6130001813266,8.21826211447959e-206,8.0403188739139e-203
"ENSG00000277075","H2AC8","H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]",20674.8831587406,-0.926872775394206,0.0303415886809179,-30.5479315912394,6.02383878913073e-205,5.64785085137582e-202
"ENSG00000145632","PLK2","polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]",14693.1153960019,1.02368536663631,0.0339197382802389,30.1796363574152,4.38302700719636e-200,3.9450749486373e-197
"ENSG00000278588","H2BC10","H2B clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4756]",13803.2504169208,-0.966567107153794,0.0321188115415492,-30.0934891661055,5.89548633332494e-199,5.10231667201838e-196
