"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","neg_log10_pvalue"
"ENSG00000265972","TXNIP","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]",2226.10342681539,2.49749614683096,0.0630091339495518,39.6370492701992,0,0,"Upregulated",307.652655568589
"ENSG00000205038","PKHD1L1","PKHD1 like 1 [Source:HGNC Symbol;Acc:HGNC:20313]",1477.25232496028,2.85994719645468,0.0682323984841174,41.914797955115,0,0,"Upregulated",307.652655568589
"ENSG00000168209","DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]",4592.06402620834,1.8796461840708,0.048704479168216,38.5928813154712,0,0,"Upregulated",307.652655568589
"ENSG00000154175","ABI3BP","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]",3856.16341528427,1.53769319066325,0.0408856003583514,37.6096517401183,1.49493680926632e-309,8.40976702052767e-306,"Upregulated",307.652655568589
"ENSG00000172667","ZMAT3","zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]",7858.57288105338,1.27975587050817,0.0372419188450539,34.3633172026564,8.90959193188156e-259,2.8640519664457e-255,"Upregulated",258.050142186624
"ENSG00000203811","H3C14","H3 clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:20503]",35890.6790287221,-1.042753379768,0.0287330798364231,-36.291041047614,2.24018067128468e-288,1.00817090930496e-284,"Downregulated",287.649716954265
"ENSG00000203852","H3C15","H3 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:20505]",36569.2253091461,-1.03246094887506,0.0296063017812892,-34.8730130666832,1.90749210408551e-266,7.15373122102204e-263,"Downregulated",265.719537251097
"ENSG00000184357","H1-5","H1.5 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4719]",29996.547512884,-0.998936964560629,0.0292173421493239,-34.1898643434185,3.4205373486754e-256,9.62111642748673e-253,"Downregulated",255.465905663174
"ENSG00000276368","H2AC14","H2A clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4727]",23383.0557443521,-1.04019140791168,0.031027428389422,-33.5248991587813,2.09077231406025e-246,4.70465586109837e-243,"Downregulated",245.67969325945
"ENSG00000105825","TFPI2","tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]",2480.37651896449,-1.7333628187962,0.0520774653053968,-33.2843161361882,6.51136423438141e-243,1.22098931668375e-239,"Downregulated",242.186328010296
