"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000253368","TRNP1","TMF1 regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348]",4655.81127857778,3.37381052566344,0.0841722604825937,40.0822136214475,0,0
"ENSG00000169213","RAB3B","RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]",19989.7618631519,3.90176156400956,0.0553907516261131,70.4406683329811,0,0
"ENSG00000162407","PLPP3","phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]",20089.1423511294,-2.47961580064119,0.0542594129190418,-45.6992744160525,0,0
"ENSG00000162692","VCAM1","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]",6744.95662677929,-3.77371776482307,0.07518700279987,-50.1910918682024,0,0
"ENSG00000183508","TENT5C","terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]",3092.57245369008,5.17937250763984,0.106098394018578,48.8166909174224,0,0
"ENSG00000117586","TNFSF4","TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]",2596.23352876395,4.52986064054994,0.101281904103305,44.7252713172691,0,0
"ENSG00000116741","RGS2","regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]",4982.3907496529,-3.44230998542151,0.0851776584646619,-40.4132967196984,0,0
"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",9893.96153479166,2.26547241926885,0.0568522289822352,39.848436197229,0,0
"ENSG00000117114","ADGRL2","adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]",6773.25128958254,-3.46961812110592,0.0707003417812076,-49.07498370861,0,0
"ENSG00000153904","DDAH1","dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]",4884.58119021771,3.13782643538374,0.0688763051299194,45.5574152745992,0,0
"ENSG00000132688","NES","nestin [Source:HGNC Symbol;Acc:HGNC:7756]",10869.0875999635,2.93359073119155,0.0601297967678546,48.7876375587526,0,0
"ENSG00000150938","CRIM1","cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]",31214.096208862,2.90971508223072,0.051956220404863,56.0032092318704,0,0
"ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]",175242.757623902,-1.99710621059472,0.0492361394800558,-40.5617952927381,0,0
"ENSG00000163171","CDC42EP3","CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]",9416.5801046307,2.28140805369784,0.0581283818536117,39.2477475021281,0,0
"ENSG00000168542","COL3A1","collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]",299103.190567959,-3.64560459209545,0.0547102899545077,-66.6347152450995,0,0
"ENSG00000115594","IL1R1","interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]",12162.8243267597,-2.63661464076697,0.0620356494602026,-42.5016045404413,0,0
"ENSG00000173559","NABP1","nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]",27587.5885233152,3.36089298098012,0.0653395357941974,51.4373562672081,0,0
"ENSG00000091409","ITGA6","integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]",5612.10549311614,3.53234541892748,0.0694775138117583,50.8415633365636,0,0
"ENSG00000057019","DCBLD2","discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]",37541.1839621737,3.34543312278035,0.0515822343370603,64.8563050006687,0,0
"ENSG00000170017","ALCAM","activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]",20991.3144694164,2.19492307099608,0.0520936134394165,42.1342065961448,0,0
"ENSG00000185565","LSAMP","limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]",2372.85030385163,-3.64518922556979,0.0923275416979589,-39.4810601314902,0,0
"ENSG00000079257","LXN","latexin [Source:HGNC Symbol;Acc:HGNC:13347]",6498.89521625793,-3.57555841455317,0.0670005704244197,-53.3660891527274,0,0
"ENSG00000090530","P3H2","prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]",4481.18655582027,4.37527648884288,0.0835053503687708,52.3951635376784,0,0
"ENSG00000163347","CLDN1","claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]",2174.48550152497,6.1255294774043,0.152449092508778,40.1808195549056,0,0
"ENSG00000082781","ITGB5","integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]",14205.1405255487,2.50066362094915,0.0578496209282628,43.2269664143545,0,0
"ENSG00000114654","EFCC1","EF-hand and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25692]",3664.77930580083,-6.58791169493853,0.131669476546545,-50.0337046043447,0,0
