"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0051301",1e-10,2.601e-07,NA,0.543100260147589,1.9531564988507,388,"CCND1;CCND2;HMGA2;SEPTIN11;NEDD9;ANLN;CCND3;TACC1;AURKA;PELO;TUBA1B;BCAR1;DYNLT3;LATS2;UBE2S;ZWINT;CENPT;KIF23;USP44;ECT2;RAN;MAPRE1;SPDL1;CENPX;KNSTRN;CENPE;CEP55;RACGAP1;CCNB1;GNAI2;KIF20B;CDK6;BIRC5;NCAPG;TUBA1A;MAD2L1;CDK2;REEP3;PTTG1;RALB;RHOA;ARF6;INTU;DCTN3;PRKCE;CDC6;ANKLE2;TPX2;ASPM;HAUS6;CKAP5;BUB3;DYNC1LI1;RUVBL1;KNL1;CKS1B;CDC25A;CDK7;SMC2;DYRK3;KLHL18;CCNA2;CINP;BUB1;KLHL21;SEH1L;NCAPG2;CDCA5;PIMREG;SPAG5;PDCD6IP;SKA2;NSUN2;TACC3;ATXN10;CLTC;CDCA2;TXNL4A;CDK1;FAM83D;SGO2;CDC16;CIB1;KIF13A;RALA;CENPW;PARD3B;ZNRD2;HELLS;TIPIN;DSN1;KNTC1;CD2AP;CCNE1;CENPF;SENP5;NUF2;ABRAXAS2;WEE1;ERCC6L;SEPTIN7;CDC27;LIG1;CDCA8;ARPP19;NEK2;TUBA1C;NUDC;VPS4A;CDC20;ZWILCH;KATNB1;ANAPC7;MICAL3;ANAPC11;KIF2C;DYNC1H1;TUBB;LIG4;CDCA3;CCNG1;CENPV;SKA3;HAUS2;ANXA11;CHMP1A;PAFAH1B1;VRK1;CCNE2;TENT4B;CETN2;E4F1;SPC24;FZR1;DCTN1;SNX18;SSNA1;INCENP;NCAPD3;SEPTIN9;AHCTF1;USP16;BUB1B;KIF14;NDC80;KIF11;ANAPC1;FBXO5;ANAPC5;GNAI3;AURKB;DYNLT1;KIF18B;ENTR1;ARL8A;EVI5;SKA1;LZTS2;KMT5A;INO80;CLTA;TRIOBP","GO:0051301","cell division",2.601e-07,388
"GO:0042254",2.94411470024775e-08,3.8288211676722e-05,0.73376198835648,0.628353458077954,2.02570355613975,116,"SBDS;ZNF622;BOP1;WDR43;EBNA1BP2;BRIX1;GTPBP4;RRS1;MRTO4;BUD23;GRWD1;EIF6;HEATR3;GNL2;C1QBP;RRN3;SNU13;DCAF13;RRP36;BYSL;NOP56;CUL4A;RIOK2;ZNHIT6;MYBBP1A;NIP7;RRP7A;CINP;IMP4;DHX30;NOL7;PWP1;EMG1;TSR3;RIOK3;PAK1IP1;NOP10;RPF2;SDAD1;DDX56;NOP58;FASTKD2;PES1;DHX37;NOL11;DDX51;IMP3;NOP14;LTV1;UTP15;TSR1;MALSU1;FCF1;GTF3A;DKC1;CUL4B;EFL1;HEATR1;URB2;NHP2;DDX31;MPHOSPH10;GNL3L;UTP4;AATF;SURF6;NOC4L","GO:0042254","ribosome biogenesis",3.8288211676722e-05,116
"GO:0006457",6.52032217823489e-08,5.65311932852965e-05,0.704975715167238,0.56310739932604,1.90519245795508,181,"DNAJB4;HSP90AA1;HSPB1;CCT8;HSPA8;DNAJB1;RP2;RUVBL2;CDC37;CCT5;ZPR1;DNAJB6;CCT2;TCP1;HSPH1;FKBP4;CCT6A;PDIA6;CCT3;PPIF;RIC8A;HSPD1;FKBP1A;MOGS;VBP1;AHSA1;CCDC47;PPIA;CCT4;DNAJC5;GRPEL1;HSP90AB1;CCT7;HSPA4L;PPIL1;BAG4;TOR1A;PDCL3;ATF6;SIL1;DNAJB14;HSP90B1;HSPA13;CHORDC1;P4HB;CALR;HSPA4;DNAJA3;TTC1;CDC123;RANBP2;BAG3;QSOX2;TBCA;HSPA1A;PFDN1;CRYAB;DNAJA2;NUDC;DNAJC21;MPDU1;NUDCD3;LYRM7;DNAJA1;HSPA5;HSPA1B;GAK;PDRG1;BAG5;LMAN1;HSPA6;HSPE1;TAPBP;LMAN2L;PFDN5;HSPBP1;HSPA14;PFDN6;HYOU1;PEX19;HSPB6;DFFA;PDIA4;HSPA9;MESD;CANX;TBCD;DNAJB11;PFDN2;DNAJC24","GO:0006457","protein folding",5.65311932852965e-05,181
"GO:0006886",1.27411699963004e-07,8.28494579009431e-05,0.690132458796796,0.508471817993345,1.77306010742602,263,"EHD1;CLTB;BCAP31;AP1S1;STX12;YWHAH;TIMM17A;RAB32;ARL4C;AP1S2;NAPG;ARF4;CSE1L;SNX6;TUBA1A;SCFD2;TIMM50;SELENOS;SEC23B;RHOB;EXOC6;ARF6;IPO5;AP2S1;IPO7;GRPEL1;SNX8;TMED3;AP2M1;VPS29;AP1M1;TMED4;RAB1B;TNPO1;SEC61G;RAB21;TMED5;AP1B1;TMED2;AP3D1;SIL1;SAR1B;TMED10;ARL1;COPB1;TMED7;SAR1A;STX6;CLTC;SRPRA;XPO6;NSF;KIF13A;ARF1;TIMM23;CTTN;ARF3;STXBP3;RAB1A;USO1;RAB14;AP3M2;VTI1B;SYTL5;AP4E1;RAB18;SNX11;WLS;RIMS2;TIMM21;EXPH5;RANBP17;SEC13;RIC1;RAB22A;RAMP1;AP5Z1;MYO6;TMED9;RAB5C;STX18;AP1S3;KPNB1;ARFGAP3;SCFD1;SEC24C;SYTL3;SNX17;MLPH;DNAJC15;COPZ2;APBA1;VPS45;RAB3GAP2;CLTA;STX2;ARFIP1;STX1A;SYTL2;CHML;CLTCL1;IPO11;HSPA9;ARCN1;TOMM22;TNPO2;SEC24A;STX4;SEC61B;AP2A1;VPS35;COPB2;RAB6B;STX7;ROMO1;RAB6A;TBC1D13;NAPA;AP3M1;VTI1A;UNC93B1;AP3B1;CHM;VPS18;AP3S1;TIMM17B;VPS26A;ACD;TMED1;TGFBRAP1;SEC24B;ABCA12;GGA1;XPO1;STX3;ARFRP1;AP1G1","GO:0006886","intracellular protein transport",8.28494579009431e-05,263
"GO:0007186",1.97777831668828e-07,0.000102884028034124,0.690132458796796,-0.42577187573176,-1.73392696149793,339,"EDNRB;CXCL8;ADGRL2;AKR1C2;CXCL12;BDKRB2;AKAP12;RGS2;CXCL1;NPR3;RGS5;AREG;S1PR3;ABCA1;GRK5;ADGRL3;ADGRG6;PTGER2;C3;EDNRA;RGS17;GNG2;APOE;ADGRA3;PDE3A;S1PR1;GPRC5B;AKR1C3;RGS10;P2RY1;PDE3B;LPAR6;GNAI1;ENTPD1;CALCRL;SMO;GPR20;INSR;LPAR1;ADGRA2;S1PR2;GPR162;SSTR2;PTH1R;GPR161;FZD1;GNB4;AGTR1;RGS12;AGT;GPR173;LANCL1;CX3CL1;CELSR3;GNAL;GPR78","GO:0007186","G protein-coupled receptor signaling pathway",0.000102884028034124,339
"GO:0007059",7.14107525756756e-07,0.000309565612415554,0.659444398037935,0.613580643185044,1.96557212057334,107,"CENPT;USP44;ERCC2;CENPX;KNSTRN;CENPE;DIAPH3;BIRC5;HJURP;CENPI;PTTG1;NTMT1;CENPL;SRPK1;BUB3;PPP2R1A;KNL1;CENPK;CENPN;BUB1;SEH1L;SPAG5;SKA2;DLGAP5;CDCA2;SGO2;RIOK3;CENPW;DSN1;TTK;CENPU;CENPF;NUF2;ABRAXAS2;NDEL1;MKI67;ESPL1;NEK2;CIAO1;KIF2C;SKA3;C9orf78;CIAO2B;SPC24;CENPM;INCENP;NDC80;ARL8A;CCDC86;ESCO2;SKA1;CEP85;BRCA1;RAD21L1;USP9X;NUP37;MAP3K20;CENPQ;SPC25;NEK6;MIS18A;CENPH;CENPO","GO:0007059","chromosome segregation",0.000309565612415554,107
"GO:0006364",1.7566211661531e-06,0.000634688745998637,0.643551836150722,0.546800374392901,1.83159531717144,161,"SBDS;BOP1;WDR43;EBNA1BP2;NOL6;CDKN2A;BRIX1;PA2G4;RRP9;DDX21;MRTO4;BUD23;DDX10;LYAR;DCAF13;RRP15;RRP36;BYSL;NOP56;DIMT1;TBL3;RRP7A;IMP4;POP4;POP7;RRP1;PWP1;EMG1;TSR3;EXOSC4;WDR74;NOP10;ERI1;RPF2;DDX56;PDCD11;NOP58;PES1;NSUN5;MTREX;TRMT2B;LAS1L;NOL11;DDX51;IMP3;NOP14;UTP6;UTP15;TENT4B;EXOSC9;FCF1;DKC1;DDX54;RRP8;TFB1M;POP5;UTP20;HEATR1;TRMT112;EXOSC5;UTP25;RPP40;NHP2;TSR2;DIS3;EXOSC2;MPHOSPH10;UTP4;ESF1;NOC4L;DDX49;RPP30;EXOSC6;AK6;RRP1B;MRM1;UTP18;EXOSC10;RPF1;SUV39H1;MPHOSPH6;FTSJ3;RPS19;RBFA;NAT10;WBP11;TFB2M","GO:0006364","rRNA processing",0.000634688745998637,161
"GO:0016192",1.95213762706232e-06,0.000634688745998637,0.627256739718528,0.473165221584098,1.66311535583373,301,"CLTB;MCFD2;FMN2;KIF1C;BCAP31;OLR1;AP1S1;STX12;RAB32;PLIN3;ERGIC1;AP1S2;PICALM;MYO5A;LRP10;TVP23B;NECAP1;NAPG;ARF4;GOLGA4;RIN2;KIF17;YIPF5;SCFD2;BLZF1;YKT6;SEC23B;ARF6;INTU;RIN1;SCARF2;GOLT1B;AP2S1;NECAP2;ACTR1A;AP2M1;TBC1D23;AP1M1;KDELR2;KDELR3;AP1B1;TMED2;ERGIC2;AP3D1;SAR1B;TMED10;ARL1;COPB1;SAR1A;STX6;CLTC;SCARA3;TRAPPC4;NSF;ARF1;CD320;ARF3;STXBP3;PRICKLE1;RAB1A;USO1;RAB14;GDI1;AP3M2;VTI1B;ZFYVE27;AP4E1;TRAPPC3;VAMP3;SPTBN1;VPS4A;MON1A;ERGIC3;YIF1A;COPE;ARFGAP1;SEC13;CHMP1A;AP5Z1;RAB2A;VPS53;STX18;AP1S3;GDI2;ARFGAP3;SCFD1;LMAN1;RAB11A;SEC24C;SNX17;SEC22C;RABEP1;PREB;COPZ2;VPS45;SPAG9;CLTA;KDELR1;STX2;KIF1B;STX1A;SYTL2;BNIP1;CHML;CLTCL1;SFT2D2;CNIH3;ARCN1;KXD1;KIF3B;SYT15;SEC24A;STX4;SFT2D1;AP2A1;COPB2;RAB11FIP3;RAB6B;STX7;GOSR1;STBD1;SEC22B;SSC5D;RAB6A;SCYL1;SPIRE1;RINT1;NAPA;TVP23C;AP3M1;VTI1A;VAMP7;AP3B1;CHM;VPS18;AP3S1;ZW10;RAB2B;SEC31A;GOSR2;YIPF2;RABGEF1;TBC1D4;TGFBRAP1;SEC24B;TRAPPC2;PRKCI;GGA1","GO:0016192","vesicle-mediated transport",0.000634688745998637,301
"GO:0006888",2.94640693749804e-06,0.000851511604936933,0.627256739718528,0.582063666867874,1.89086358698228,123,"BCAP31;ERGIC1;ARF4;SURF4;VCP;YIPF5;YIF1B;YKT6;SEC23B;RNF115;GOLT1B;LMAN2;ANK1;TMED3;TMED4;RAB1B;TMED5;TMED2;ERGIC2;SAR1B;TMED10;COPB1;TMED7;SAR1A;P4HB;TRAPPC4;YIPF6;RAB1A;USO1;GDI1;TRAPPC3;YWHAE;RABGGTB;ERGIC3;YIF1A;COPE;RAB2A;AKT1;TMED9;SCFD1;LMAN1;LMAN2L;SEC24C;SEC22C;PREB;TEX261;HYOU1;PEF1;GOPC;ARCN1;SEC24A;TRIP11;LMF1;COPB2;GBF1;GOSR1;WHAMM;SEC22B;IER3IP1;RINT1;RABGGTA;VTI1A;VAMP7;STEEP1;ZW10;SEC31A;TMED1;SEC24B;TRAPPC2","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",0.000851511604936933,123
"GO:0006693",8.95516862074963e-06,0.00232923935825698,0.593325476396405,-0.802734232528006,-2.10456037510941,23,"AKR1C1;AKR1C2;PTGS1;PTGES;PLA2G4A;PTGS2;TBXAS1;AKR1C3;PTGDS;PTGR1;PTGIS","GO:0006693","prostaglandin metabolic process",0.00232923935825698,23
"GO:0042776",1.22595738975952e-05,0.00289883197342227,0.593325476396405,0.645966854475371,1.9020144107043,63,"NDUFAB1;NDUFC1;NDUFV3;SDHB;NDUFB2;MT-ND2;ATP5F1B;NDUFB7;ATP5PB;NDUFB3;NDUFS4;NDUFS8;NDUFA6;NDUFS6;ATP5MF;MT-ND1;MT-ND5;ATP5PD;NDUFV1;NDUFA1;NDUFC2;SDHC;NDUFB6;NDUFA12;NDUFS5;MT-ND4;ATP5F1D;NDUFS1;ATP5F1A;NDUFA8;ATP5F1E;MT-ND6;NDUFA11;ATP5F1C;MT-ATP6;ATP5ME;MT-ND4L;ATP5MG;MT-ATP8;NDUFB10;STOML2;NDUFA2;NDUFS7;NDUFS3;MT-ND3;NDUFA9","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",0.00289883197342227,63
"GO:0006325",1.55350325285195e-05,0.00336721830055659,0.575610261071129,-0.362743428229952,-1.5036457364461,418,"MYOCD;EYA4;PRDM6;KDM5B;HDAC4;PHF14;TBL1XR1;DNMT3A;MBTD1;KDM3A;SATB1;TET1;TET3;CHD3;ING4;PTMA;MACROH2A2;H4C5;PYGO1;SNAI2;TET2;KDM7A;JARID2;KDM1A;OGT;RBBP4;RBL2;PHF21A;MLLT6;GPX4;ZNF462;TOX;CHD6;L3MBTL3;ARID2;KDM5A;SMARCD3;ING3;PRKAA2;ARID1B;SMARCE1;H4C6;EYA2;H1-4;KDM6B;HMGN2;KDM3B;USP3;HNRNPU;KAT6B;TDRD3;TP53BP1;ZNF518A;KDM6A;BRD3;SETD5;SETDB1;NSD1;KMT2E;CBX2;SMARCC2;MLLT3;EPC2;H3C11;SMARCC1;HMGB1;FMR1;CHD4;HMG20A;ING1;ASF1A;BRD8;EPC1;ZNF618;SETMAR;EMSY;KANSL1;UBN2;MSL1;PHF2;GATAD1;HDAC1;SETD2;KMT5B;USP21;BCORL1;ATXN7L3;HDAC6;BCOR;ZMYND8;ARID4B;SIRT1;PBRM1;TAF1;H4C11;H2AZ2;SMARCAD1;CTCF;BABAM2;MORF4L1;H4C2;CBX3;L3MBTL4;DTX3L;H1-3;KMT2C;SETD1B;TADA3;JAK2;BRD1;PRMT6;RCBTB1;H4C12;HDAC8;KDM4A;TRRAP;H3C1;KAT8;SGF29;KANSL3","GO:0006325","chromatin organization",0.00336721830055659,418
"GO:0032543",2.05251445184242e-05,0.00410660776095549,0.575610261071129,0.601398173246731,1.87974390596764,92,"AURKAIP1;GFM2;IARS2;MRPL36;MRPS23;MRPL52;MRPL17;MRPL41;GADD45GIP1;MRPL32;DAP3;MRPL33;MRPS10;MRPS12;MRPL20;FASTKD2;MRPS35;MRPL24;MRPS7;MRPL54;MRPL27;MRPL18;MRPL28;MRPL37;MRPL50;MRPL13;MRPL4;MRPS34;MRPL51;MRPL35;MRPL15;MRPL57;MRPL21;MRPL55;MRPL47;MRPL49;MRPL12;MRPL58;MRPS18B;MRPL19;PTCD3;MRPL43;MRPS22;CHCHD1;MRPL42;LARS2;MRPL39;MRPL1;MRPL23;MRPS5","GO:0032543","mitochondrial translation",0.00410660776095549,92
"GO:0006986",2.39656384737171e-05,0.00445247326215273,0.575610261071129,0.623095870042261,1.87445133084271,72,"THBS1;DNAJB4;EPG5;HSP90AA1;HSPB1;CHAC1;HSPA8;DNAJB1;CREB3;TOR1B;TRAM1;TMBIM6;HSPH1;HSPD1;HSP90AB1;HSPA4L;MANF;ATF6;JKAMP;MFN2;EDEM3;HSPA4;HSPA1A;FICD;UBE2J2;SERP1;DNAJC3;DNAJB9;DERL2;DNAJA1;CREB3L1;EDEM1;HSPA6;HSPE1;HSPB7;STT3B;GORASP2;FAF2","GO:0006986","response to unfolded protein",0.00445247326215273,72
