"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","neg_log10_pvalue"
"ENSG00000253368","TRNP1","TMF1 regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348]",4655.81127857778,3.37381052566344,0.0841722604825937,40.0822136214475,0,0,"Upregulated",307.652655568589
"ENSG00000169213","RAB3B","RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]",19989.7618631519,3.90176156400956,0.0553907516261131,70.4406683329811,0,0,"Upregulated",307.652655568589
"ENSG00000183508","TENT5C","terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]",3092.57245369008,5.17937250763984,0.106098394018578,48.8166909174224,0,0,"Upregulated",307.652655568589
"ENSG00000117586","TNFSF4","TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]",2596.23352876395,4.52986064054994,0.101281904103305,44.7252713172691,0,0,"Upregulated",307.652655568589
"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",9893.96153479166,2.26547241926885,0.0568522289822352,39.848436197229,0,0,"Upregulated",307.652655568589
"ENSG00000162407","PLPP3","phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]",20089.1423511294,-2.47961580064119,0.0542594129190418,-45.6992744160525,0,0,"Downregulated",307.652655568589
"ENSG00000162692","VCAM1","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]",6744.95662677929,-3.77371776482307,0.07518700279987,-50.1910918682024,0,0,"Downregulated",307.652655568589
"ENSG00000116741","RGS2","regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]",4982.3907496529,-3.44230998542151,0.0851776584646619,-40.4132967196984,0,0,"Downregulated",307.652655568589
"ENSG00000117114","ADGRL2","adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]",6773.25128958254,-3.46961812110592,0.0707003417812076,-49.07498370861,0,0,"Downregulated",307.652655568589
"ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]",175242.757623902,-1.99710621059472,0.0492361394800558,-40.5617952927381,0,0,"Downregulated",307.652655568589
