"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0006457",2.41121187012555e-08,3.29428947402056e-05,0.73376198835648,0.553742029669541,1.9059667691667,179,"DNAJB4;HSPB1;HSP90AA1;RP2;DNAJB1;DNAJB6;CDC37;HSPA8;CCT8;MOGS;CALR;PDIA6;SIL1;ZPR1;HSP90B1;BAG4;DNAJC5;FKBP1A;RIC8A;BAG3;CCT5;RUVBL2;CCT2;DNAJB14;TCP1;VBP1;PPIF;P4HB;CCDC47;CCT3;HSPA5;PPIL1;PPIA;ATF6;TOR1A;GRPEL1;PDCL3;CCT6A;DNAJC21;FKBP4;TTC1;CCT7;AHSA1;CCT4;QSOX2;HSPH1;DNAJA3;TAPBP;HSPA4;CDC123;TXNDC5;PDIA4;PFDN1;HSP90AB1;RANBP2;PDIA3;CHORDC1;HSPB6;LYRM7;LMAN1;DNAJB11;BAG5;NUDCD3;CRYAB;DNAJA2;HSPD1;TBCA;HYOU1;HSPA13;PPIB;NUDC;GAK;PFDN5;PDRG1;CANX;PEX19;TBCD;HSPA4L;DNAJB2","GO:0006457","protein folding",3.29428947402056e-05,179
"GO:0006886",5.0818194740001e-08,3.29428947402056e-05,0.719512826338911,0.508864830551026,1.81673718298216,264,"EHD1;CLTB;BCAP31;STX12;AP1S1;ARL4C;AP1S2;TIMM17A;YWHAH;EXOC6;RAB32;ARF4;SELENOS;RIMS2;SCFD2;AP2S1;AP2M1;SIL1;TMED9;NAPG;RHOB;ARF6;SNX6;TUBA1A;EXPH5;SNX8;TMED2;TMED3;RAMP1;AP1B1;RAB1B;SEC23B;CHML;TMED10;SAR1B;AP3D1;VPS29;AP1M1;CSE1L;TMED7;TMED5;SAR1A;KIF13A;COPZ2;ARL1;XPO6;TMED4;SNX11;RAB21;STX6;TNPO1;GRPEL1;RAB14;TIMM50;STXBP3;WLS;SRPRA;IPO5;AP4E1;COPB1;VTI1B;ARF3;CLTC;SEC61G;AP2A1;STX7;RAB18;USO1;RAB22A;RAB1A;CTTN;ARF1;TIMM23;SYTL5;IPO7;APBA1;SEC24C;NSF;RANBP17;ARFGAP3;RIC1;CLTCL1;AP3M2;SCFD1;MYO6;AP1G1;AP1S3;STX18;TIMM21;SEC13;ARL4D;RAB6B;RAB6A;STX2;UNC93B1;ARFIP1;AP3M1;NAPA;SEC24A;COPB2;DNAJC15;SNX17;AP5Z1;STX4;TBC1D13;VPS45;TNPO2;RAB5C;STX1A;SEC23A;VPS26B;ARFRP1;RAB3GAP2;VTI1A;RIMS1;VPS26A;ARCN1;SYTL3;KPNB1;SEC24B;RAB5B;CLTA","GO:0006886","intracellular protein transport",3.29428947402056e-05,264
"GO:0016192",3.20651218996635e-08,3.29428947402056e-05,0.719512826338911,0.494211644140518,1.78214817719086,302,"FMN2;OLR1;MCFD2;CLTB;KIF1C;BCAP31;STX12;AP1S1;ERGIC1;LRP10;PLIN3;AP1S2;MYO5A;RAB32;PICALM;SCARF2;INTU;KIF17;RIN2;YIPF5;PRICKLE1;KDELR3;ARF4;GOLGA4;TVP23B;NECAP1;SCFD2;AP2S1;AP2M1;KDELR2;NECAP2;NAPG;SCARA3;ARF6;ACTR1A;TMED2;YKT6;BLZF1;GOLT1B;AP1B1;SEC23B;CHML;TMED10;SAR1B;AP3D1;AP1M1;SAR1A;COPZ2;ARL1;STX6;RAB14;ZFYVE27;STXBP3;ERGIC2;YIF1A;RIN1;TBC1D23;AP4E1;COPB1;VTI1B;SPTBN1;ARF3;CLTC;AP2A1;STX7;SYT15;USO1;RAB1A;CD320;ARF1;PRKCI;VAMP3;SEC24C;GDI1;NSF;ARFGAP3;TRAPPC4;TRAPPC3;COPE;CLTCL1;RAB11FIP3;GDI2;AP3M2;KDELR1;SCFD1;VPS53;LMAN1;VPS4A;ARFGAP1;CNIH3;RAB11A;AP1G1;RAB2A;GSN;MON1A;AP1S3;KIF1B;STX18;VAMP7;SEC13;ARL4D;RAB6B;ERGIC3;RAB6A;KIF3B;STX2;CHMP1A;AP3M1;SPAG9;NAPA;SEC24A;COPB2;SEC31A;TSC2;SEC22C;SNX17;SFT2D2;AP5Z1;LRP6;STX4;RABGEF1;VPS45;STX1A;RAB4A;SEC23A;SCYL1;VTI1A;LGALS3BP;ARCN1;ACKR4;SFT2D1;RAB2B;YIPF2;VAMP2;TVP23C;BORCS7;SEC24B;GOSR2;CLTA;TRAPPC12;STX1B;RINT1;TBC1D8B;AP3S1;SSC5D","GO:0016192","vesicle-mediated transport",3.29428947402056e-05,302
"GO:0051301",4.68426933481884e-08,3.29428947402056e-05,0.719512826338911,0.475324676395694,1.73770238361054,387,"CCND1;CCND2;HMGA2;NEDD9;SEPTIN11;CCND3;TACC1;ANLN;DYNLT3;PELO;BCAR1;CENPT;LATS2;USP44;GNAI2;CDK6;AURKA;SPDL1;INTU;REEP3;DYNC1LI1;TUBA1B;CENPX;PARD3B;PRKCE;MAPRE1;CDK2;ARF6;CDK7;TUBA1A;KIF23;TUBA1C;ZWINT;RAN;RHOA;ECT2;UBE2S;RALB;ANKLE2;DCTN3;KNSTRN;ANXA11;CIB1;CDC16;DYNC1H1;ATXN10;KIF20B;EVI5;KIF13A;KLHL18;CCNE1;CD2AP;PDCD6IP;CENPE;WEE1;TXNL4A;SMC2;SENP5;CINP;CLTC;BUB3;PAFAH1B1;RACGAP1;KLHL21;SKA2;DYRK3;SEPTIN9;HAUS6;DCTN1;SEH1L;CEP55;NSUN2;LZTS2;SNX18;FZR1;CKAP5;LIG4;ABRAXAS2;ZNRD2;RAB11FIP3;KATNB1;TENT4B;CDC27;ZWILCH;VPS4A;ANAPC11;CCSAP;CCNB1;MICAL3;CDC25A;MAP4;DSN1;ANAPC5;SGO2;CCNG1;RUVBL1;CKS1B;PTTG1;CETN2;NCAPG;MAD2L1;ARPP19;ASPM;KMT5A;TRIOBP;MAPRE3;ARL8A;SEPTIN7;KNL1;DYNLT1;CHMP1A;CDC6;TIPIN;NUDC;GNAI3;LIG1;USP16;CDCA5;TACC3;NCAPG2;BIN3;RALA;CENPW;HAUS2;MAPRE2;BIRC5;FAM83D;TPX2;ERCC6L;KNTC1;INO80;USP9X;MTCL1;CCNA2;PKN2;NEK6;CDCA2;SSNA1;ANAPC7;WAPL;E4F1;CHMP3;CCDC124;ANAPC13;PPP2R2D;CNTROB;SAC3D1;AHCTF1;CCNE2;VRK1;CLTA;MAEA;KIF2A;NCAPD3;CDCA8;SIRT2;INCENP;CLASP2;PPP1CA;BECN1;PIMREG;ANAPC2;SPAG5;CCNF","GO:0051301","cell division",3.29428947402056e-05,387
"GO:0006888",1.11953307647224e-06,0.000580589853458503,0.643551836150722,0.578669297224977,1.90409465016435,123,"BCAP31;ERGIC1;ANK1;RNF115;SURF4;YIF1B;YIPF5;ARF4;TMED9;VCP;TMED2;YKT6;TMED3;GOLT1B;RAB1B;SEC23B;TMED10;SAR1B;P4HB;TMED7;TMED5;SAR1A;LMAN2;TMED4;ERGIC2;YIF1A;COPB1;GBF1;USO1;RAB1A;SEC24C;GDI1;TRAPPC4;TRAPPC3;COPE;SCFD1;LMAN1;TEX261;RAB2A;YIPF6;VAMP7;GOPC;ERGIC3;HYOU1;YWHAE;SEC24A;COPB2;RABGGTB;SEC31A;SEC22C;AKT1;PEF1;LMF1;SEC23A;TRIP11;VTI1A","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",0.000580589853458503,123
"GO:0006325",1.92563462855419e-06,0.000822056935352066,0.627256739718528,-0.358173672216585,-1.5519834379813,418,"MYOCD;EYA4;TOX;PRDM6;HDAC4;PHF14;PYGO1;DNMT3A;MBTD1;PRKAA2;KDM3A;H4C5;TET1;MACROH2A2;ARID2;RBBP4;H1-4;KDM5B;JARID2;ZNF462;TET3;EYA2;ING4;ING3;SATB1;CHD3;MLLT6;KDM1A;H3C11;KDM7A;RBL2;GPX4;PHF21A;TBL1XR1;CBX2;SMARCD3;TET2;HMGB1;SNAI2;HMGN2;USP3;ING1;ZNF518A;BRD3;ARID1B;SMARCE1;OGT;KAT6B;H3C1;CHD6;SETDB1;KDM6B;H4C2;CHD4;TDRD3;KDM6A;KDM5A;BRD8;HNRNPU;SETMAR;EPC2;H4C11;ASF1A;FMR1;H4C6;SMARCC1;H4C12;KANSL1;TP53BP1;SGF29;DTX3L;BCORL1;TOP2A;KDM3B;ZMYND8;UBN2;KMT2E;L3MBTL3;SETD5;PTMA;EPC1;GATAD1;FIRRE;SMARCC2;EMSY;CTCF;H2AZ2;CBX3;SMARCAD1;H4C1;BCOR;CHD7;MLLT3;SETD1B;KAT8;H2AC8;USP21;SMARCD1;H4C8;METTL4;NSD1;ZNF618;H3C6;PHF2;SMARCD2;MSL1;MTF2;HMG20A;JAK2;TADA3;THAP7;H1-3;DHX9;RCBTB1;ATXN7L3;BRD1;NPM2;HDAC8;UIMC1;H1-2;HDAC1;SETD2;KANSL3;SAFB;KMT2A;UVSSA;SIRT1;TAF1;SMCHD1;HMGB2;MSL2;WAC;EZH2;PARP10;H4C4;PBRM1;HDAC6","GO:0006325","chromatin organization",0.000822056935352066,418
"GO:0006693",2.50622745528445e-06,0.000822056935352066,0.627256739718528,-0.808778066460876,-2.23917184677704,22,"PTGS2;AKR1C1;AKR1C2;PTGS1;AKR1C3;PTGIS;PTGES;PTGDS;PTGR1;AKR1B1;TBXAS1;PLA2G4A","GO:0006693","prostaglandin metabolic process",0.000822056935352066,22
"GO:0030036",2.53623427798555e-06,0.000822056935352066,0.627256739718528,0.502132943953239,1.75493884285139,206,"FMN2;ANXA1;KIT;FLNC;FMN1;ACTN4;AMOTL2;EZR;PDLIM5;ARPC5;NF2;PALLD;FGD4;PLEC;LIMK2;CAP1;VASP;DAAM2;PDLIM4;PDLIM2;PFN2;INF2;DNAJB6;SSH1;FLNB;DIAPH3;SYDE1;SPTAN1;TAOK2;ROCK1;BCR;WDR1;CAPZA1;KANK1;DIAPH1;ACTN1;MYH9;MRAS;GRB2;PAK1;ADD1;RAN;RHOA;PDLIM1;SRF;FLNA;CFL1;TLN1;ACTR2;CAPZA2;PFN1;IQSEC1;PDLIM7;CDC42;ATP2C1;PDCL3;EPB41L5;PDPK1;PACSIN2;MINK1;SIPA1L1;SPTBN1;PAFAH1B1;PHACTR2;CTTN;SEPTIN9;CXADR;CORO2B;CRK;LIMK1;SHC1;CAPZB;PHPT1","GO:0030036","actin cytoskeleton organization",0.000822056935352066,206
"GO:0016477",7.51976098951637e-06,0.00216652669397955,0.610526878385931,0.478446973372843,1.7080818965744,262,"GAS6;CD44;THBS1;NEDD9;ITGB5;FMN2;KIT;EPHA2;FLT1;GFRA1;CDH6;SDC4;PTPRF;ITGBL1;HBEGF;RHOC;ARPC5;CD151;PRAG1;RRAS2;CASS4;CCN2;GPC1;PALLD;BCAR1;TIAM1;LIMA1;CD47;SDC3;BDKRB1;WWC2;ADAMTS12;TNFAIP1;SPDL1;ITGB1;PRICKLE1;CD63;ARF4;MAPRE1;SYDE1;RNH1;AXL;SCRIB;PXN;TAOK2;IL12A;BCR;LRP12;RRAS;MCU;IQGAP1;CDH13;APC;PAK1;RHOA;FAT1;DOCK5;ARPC5L;IGFBP6;TGFB2;KNSTRN;CD248;CDH4;WWC3;LIMD1;MYO18A;CCDC88A;TYRO3;AQP1;FOXE1;CD2AP;CDH24;PDPK1;RHBDF1;DRD1;NDEL1;PAFAH1B1;PIK3CB;RAB1A;NCKAP1;PRKCI;CRK;NTN4;SYDE2","GO:0016477","cell migration",0.00216652669397955,262
"GO:0030335",1.17632677931082e-05,0.00305021533875296,0.593325476396405,0.481568252932456,1.69784789838153,225,"ITGA6;WNT5B;THBS1;CLDN1;NEDD9;SEMA7A;MGAT5;CCN1;KIT;EPHA2;FLT1;FGF1;EDN1;MCAM;ACTN4;HBEGF;RHOC;CD151;CASS4;NTF3;BCAR1;LRRC15;DAB2;EPHB2;TIAM1;GNAI2;VSIR;MYO1C;GCNT2;VEGFC;DAAM2;ACTG1;CREB3;IGSF8;ITGB1;SEMA4F;PPM1F;HSPA8;HRAS;PINK1;DAPK3;SH3RF2;PDGFB;RHOD;RHOB;GRN;ITGA5;CPNE3;CDH13;SPRY2;APC;PAK1;RHOA;NUMB;RAB40B;RNF7;CIB1;CAV1;HSPA5;EGF;LAMC2;PLAU;ADAM10;CDC42","GO:0030335","positive regulation of cell migration",0.00305021533875296,225
"GO:0120163",1.32258819884653e-05,0.00311770109055368,0.593325476396405,-0.664428011369606,-2.11563038595667,41,"LAMA4;NPR3;ARRDC3;ADAMTS5;IL18R1;MAP2K6;PLCL1;NR1H3;ATF4;FLCN;NOVA1;ACVR2B;PCTP;DDIT3","GO:0120163","negative regulation of cold-induced thermogenesis",0.00311770109055368,41
"GO:0006066",3.37657144714137e-05,0.00729620813536464,0.557332238758646,-0.86937916231713,-2.04364165620206,12,"AKR1C1;AKR1C2;ALDH2;AKR1C3;CYP27A1","GO:0006066","alcohol metabolic process",0.00729620813536464,12
"GO:0007186",6.64136829388877e-05,0.0117877249260037,0.538434096309916,-0.345919515834641,-1.48179090499102,335,"ADGRL2;AKR1C2;APOE;RGS5;CXCL1;NPR3;ADGRG6;BDKRB2;S1PR3;EDNRA;ABCA1;C3;PDE3A;GNG2;PTGER2;RGS17;ADGRA3;S1PR1;EDNRB;RGS2;AKR1C3;ADGRL3;AKAP12;RGS10;GPRC5B;PDE3B;CXCL8;CALCRL;GNAI1;SSTR2;CXCL12;LPAR6;GPR20;GRK5;AGTR1;ENTPD1;GPR162;P2RY1;SMO;RGS18;AREG;GPR173;INSR;GNB4;GLP2R;GNAL;PTH1R;GPR161;FZD1;ADGRA2;SCN11A;CX3CL1;GNG11;PREX1;RGS12","GO:0007186","G protein-coupled receptor signaling pathway",0.0117877249260037,335
"GO:0042254",7.27356725090856e-05,0.0117877249260037,0.538434096309916,0.535189702010809,1.75485337377136,116,"SBDS;BOP1;ZNF622;EBNA1BP2;WDR43;BRIX1;BUD23;GTPBP4;EIF6;ZNHIT6;RIOK3;RRS1;MRTO4;HEATR3;GRWD1;GNL2;CUL4A;MYBBP1A;SNU13;RRN3;DCAF13;RIOK2;CINP;BYSL;TSR3;RRP36;CUL4B;MALSU1;NIP7;PWP1;RRP7A;C1QBP;IMP4;NOL7;DHX37;DDX51;NOP10;FASTKD2;SDAD1;EFL1;NOP58;NOP14;DHX30;LTV1;IMP3;RPF2;EMG1;PAK1IP1;GNL3L;DDX56;NHP2;NOL11;URB2;DKC1;AK6;NOP56;DDX31;FCF1;NOC4L;TSR1;MPHOSPH10;GTF3A;UTP15;WDR36;DDX47;HEATR1","GO:0042254","ribosome biogenesis",0.0117877249260037,116
