"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,9e-09,NA,-0.792234446255465,-2.65963209435538,37,"SKA3;KIF18B;KIFC1;NDC80;KIF2C;NEK2;SPAG5;CDCA8;SKA1;KNL1;PLK1;CENPI;ESPL1;SMC4;ZWINT;NCAPG2;KNSTRN;KNTC1;MAD2L1;CENPK;SKA2;KIF18A","GO:0000070","mitotic sister chromatid segregation",9e-09,37
"GO:0000278",1e-10,9e-09,NA,-0.695107312932399,-2.96680347697907,135,"CIT;SKA3;CENPF;KIF18B;TUBB6;MYB;AURKA;AURKB;NDC80;NEK2;MYBL2;KIF15;CDCA8;SKA1;BIRC5;CENPE;PLK1;EML4;PPP5C;CENPW;KIF11;POLE;PBK;ESPL1;KIF22;NCAPD2;CEP250;MYBL1;ZNRD2;HASPIN;TPX2;PKMYT1;CDT1;CLTCL1;INCENP;BCL2;CLTC;XRCC2;SKA2;TUBGCP3;WEE1;TUBB4B;KIF18A;WDHD1;TUBB2A;CDC25B;PRDM5;TUBA1C;TUBA1B;PPP1R12A;ANAPC11;PPP2R2D;PBRM1;NEDD1;MCPH1;TADA3;ZNF830;TUBGCP5;ENSA;CDK11B;CENPC;NRDE2;TUBGCP4;TUBB2B;ZW10;YEATS4;NUDT15;AKAP8;SMC3;TUBB;TUBA1A;USP16;NLE1;STAT5B;TUBGCP2;RNF2","GO:0000278","mitotic cell cycle",9e-09,135
"GO:0000398",1e-10,9e-09,NA,-0.5839892849152,-2.57377894541927,175,"SYNCRIP;DDX39A;BUD13;SNRPF;LSM2;HNRNPH1;SF3A3;HNRNPF;DHX38;PRPF4;DHX8;FRG1;EFTUD2;HNRNPR;DHX15;HNRNPK;HNRNPU;HNRNPM;PRPF19;LSM3;SNRPE;SNRPA;YJU2;CTNNBL1;GEMIN5;SNRPD1;PPIH;RBMX;PRPF38A;RALY;PRPF31;DDX46;SART1;CENATAC;U2AF1;ZCCHC8;TRA2B;SF3B3;SNRPC;RBM10;SART3;TFIP11;CWF19L2;SRSF1;CDC5L;HNRNPA3;SNRPD2;ZMAT2;RBM42;SNRNP35;HSPA8;SNIP1;GEMIN6;SNRPB;SF3B2;PRPF6;SF3B5;ISY1;SNRPB2;RBM14;XAB2;GPKOW;GPATCH1;HNRNPA2B1;WDR83;HNRNPA1;ZCRB1;METTL3;SRSF10;PRPF40A;PLRG1;CWC25;SNRNP25;PRPF3;SNRPG;LSM6;PPIL1;WBP4;SF3B1;SNW1;RBM22;DHX35;GCFC2;AQR;CWF19L1;EIF4A3;SNRNP40;STRAP;LSM8;SNRPGP15;RBM8A;RBM6;RSRC1;PAXBP1;DHX16;PPIE;SNRNP70;HNRNPC;DDX41;LSM4;CWC22;CWC27;PRPF40B;YTHDC1;MAGOHB;RNPS1;SNRNP200;SF3A2;DBR1;MAGOH;SRRM1;IK;FRA10AC1;PHF5A;U2AF2;USP39;CRNKL1;PPWD1;LSM7;SNU13;RBMX2;SF3A1;DDX23","GO:0000398","mRNA splicing, via spliceosome",9e-09,175
"GO:0000724",1e-10,9e-09,NA,-0.62168019644861,-2.58330789402442,119,"FEN1;BLM;PLK1;PARP1;SMC6;UHRF1;RAD51D;LIG3;BRCA2;HELLS;SFPQ;WRN;RAD51AP1;H2AX;AUNIP;ANKLE1;KAT5;MMS22L;RFWD3;RAD54L;RAD54B;NUCKS1;RNF169;RAD51;DMC1;XRCC2;SLX1B;NSMCE4A;NABP2;TOPBP1;MCM8;RMI1;PRKDC;RECQL4;BRCA1;TOP3A;GEN1;KMT5A;DYRK1A;NSMCE2;RPA1;PSMD14;RBBP8;ASTE1;SLX1A;SLF1;XRCC3;C1QBP;RPA3;SMC5;CHD4;PALB2;MRE11;RNF138;POLL;INO80;NBN;SEM1;MCM9;SLF2;UBE2N","GO:0000724","double-strand break repair via homologous recombination",9e-09,119
"GO:0002181",1e-10,9e-09,NA,-0.556083271074364,-2.3482713753056,125,"RACK1;RPS10;RPSA;RPL10;RPL7A;RPL22L1;RPS7;DEPDC5;RPL36A;RPL3;RPL10A;RPL4;RPS3;RPS8;RPL14;RNF152;RPL26L1;RHEB;RPS20;RPS26;RPL9;RPS6;RPLP0P6;RPL36AL;RPL27A;RPS24;RPL38;RPL19;RPL24;RPL11;RPL32;LAMTOR1;RPS9;FTSJ1;RPLP0;RPL27;SARS1;RPL23A;RPS27A;RPS5;RPL12;RPL35A;RPS15A;RPL23;RPS3A;RPS23;SMYD5;RPL18;RPL13A;RPS21;RPL13;RPL34;RPS17;ZC3H15;FAU;RPL41;RPL21;RPS2;RPL26;RPL6;RPS15;RPL8;RPS12;RRAGC;RPS4X;RPL36;RPL7;RPL18A;RPS11;RPL35;RPL37A;RPL31;RPL22;RWDD1;RPS28;RPL5;RPS25;DRG2;RPLP1;GTPBP1;RPL37;RPS16;RPS18;RPL15;RPL28","GO:0002181","cytoplasmic translation",9e-09,125
"GO:0006260",1e-10,9e-09,NA,-0.725784136555482,-3.05697371766325,126,"MCM10;FEN1;CHAF1B;BLM;CDC6;POLQ;GINS2;DHX9;MCM5;FAM111B;ORC1;MCM7;MCM3;PCLAF;POLE;CDC45;GINS3;DTL;TICRR;LIG3;DDX11;PTMS;SSRP1;POLE2;CDK1;LIG1;CHAF1A;RFC5;MCM4;POLA2;RFC4;RFC3;WRN;RBBP4;DBF4;GINS1;DSCC1;CDT1;PRIM1;RFC2;POLA1;CHTF18;TOP1MT;MCM2;RNASEH2A;FAM111A;SET;DNA2;GINS4;CHEK1;RMI1;CDK2;SUPT16H;PCNA;TOP1;RECQL4;POLD2;MCM6;NAP1L1;RBBP7;SSBP1;ORC6;NASP;POLE3;RPA1;POLD1;PRIM2;TWNK;ZPR1;RFC1;MCMBP;KIN;AGER","GO:0006260","DNA replication",9e-09,126
"GO:0006281",1e-10,9e-09,NA,-0.577102908120191,-2.80562071497268,415,"FEN1;ACTR5;CHAF1B;CLSPN;OGG1;FOXM1;BLM;EXO1;PTTG1;BARD1;POLQ;TRAIP;PPP5C;FANCD2;PARP1;FANCA;BRIP1;PCLAF;SMC6;POLE;FAAP24;UHRF1;TICRR;RAD51D;CUL4A;LIG3;ERCC6L;KIF22;DDX11;NUDT1;CUL4B;SSRP1;POLE2;CDK1;PIF1;LIG1;CHAF1A;BRCA2;UBE2T;RFC5;SFPQ;RFC4;RFC3;WRN;RRM1;RAD51AP1;DOT1L;H2AX;RBBP4;ACTL6A;ERCC1;AUNIP;ANKLE1;MUS81;KAT5;CSNK1E;MMS22L;RFWD3;MMS19;RAD54L;MSH2;RFC2;POLA1;FANCG;RBX1;FMR1;RAD54B;NUCKS1;RNF169;FANCI;ZGRF1;RAD51;NEIL3;RNF168;FAM111A;DMC1;XRCC2;TIMELESS;DNA2;SLX1B;NSMCE4A;HMGB1;ATRIP;PRPF19;NABP2;PSME4;DCLRE1C;TOPBP1;FANCE;MCM8;CHEK1;CDK2;SUPT16H;PRKDC;PCNA;TTF2;PARPBP;HROB;USP10;XRCC5;RECQL4;BRCA1;RPS3;CGAS;POLD2;TDP1;UIMC1;PAXX;WDHD1;EEPD1;TOP3A;GEN1;NPM1;APEX2;EME1;SMCHD1;WRAP53;FH;PAXIP1;RUVBL2;USP1;NSMCE2;ALKBH2;FANCB;MCRS1;USP47;CDC5L;SPINDOC;RAD21;XRCC6;RPA1;POLD1;NHEJ1;PSMD14;ERCC3;MGME1;RIF1;DCLRE1A;BACH1;RBBP8;RFC1;NOP53;SLX1A;SLF1;MAD2L2;KIN;HPF1;AGER;XRCC3;SMC3;RUVBL1;FANCF;MSH6;UBE2D3;PAGR1;GTF2H1;DCLRE1B;SMC1A;TFPT;RPA3;SMC5;TREX2;XAB2;RAD18;USP28;CEP164;FANCM;RAD9A;SETX;PALB2;ALKBH3;DMAP1;REXO4;HDGFL2;MRE11;RNF138;SUMO1;SHLD1;POLL;CHD1L;TRIM28;RTEL1;BABAM1;INO80;NBN;ELOF1;MCM9;PARP4;POLB;RAD23A;SMARCAD1;HDAC10;CENPX;SLF2;UBQLN4;PRMT6;REV1;UBE2N;SIRT7;MDC1;SMG1;BANF1;KMT5B","GO:0006281","DNA repair",9e-09,415
"GO:0006302",1e-10,9e-09,NA,-0.619459101388234,-2.46713714486932,88,"FEN1;ACTR5;CDCA5;POLQ;PLK1;PPP5C;PARP1;BRIP1;SMC6;ESCO2;NSD2;LIG3;TRIP13;BRCA2;HELLS;WRN;H2AX;ERCC1;MUS81;KAT5;RAD54L;MSH2;RNF169;ZGRF1;RNF168;HMGB1;DCLRE1C;TOPBP1;PRKDC;XRCC5;BRCA1;TDP1;UIMC1;EME1;SMCHD1","GO:0006302","double-strand break repair",9e-09,88
"GO:0006310",1e-10,9e-09,NA,-0.634525763640798,-2.60015391626303,104,"HMGB2;FEN1;ACTR5;BLM;EXO1;SMC6;RAD51D;LIG3;PIF1;LIG1;HMGB3;BRCA2;SFPQ;WRN;RAD51AP1;H2AX;ACTL6A;ERCC1;MUS81;RAD54L;PSMC3IP;RAD51;XRCC2;SLX1B;NSMCE4A;HMGB1;DCLRE1C;PRKDC;HROB;XRCC5;RECQL4;BRCA1;TOP3A;GEN1;APEX2;EME1;PAXIP1;RUVBL2;NSMCE2;MCRS1;RAD21;XRCC6;RPA1;ASTE1;SLX1A;MND1;KIN;XRCC3;RUVBL1;PAGR1;TFPT;RPA3;SMC5;SETX;PALB2;HDGFL2;MRE11;RTEL1;INO80;IHO1","GO:0006310","DNA recombination",9e-09,104
"GO:0006325",1e-10,9e-09,NA,-0.512222013556854,-2.48431885298362,422,"H1-3;H3C12;H3C2;H1-5;H1-4;HMGB2;CHAF1B;EZH2;TOP2A;H3C3;H3C11;PTMA;CBX2;DNMT1;HDAC5;DHX9;ASF1B;H3C8;H3C15;H3C14;H3C10;NSD2;UHRF1;H2AC8;H2AZ2;COPRS;H2BC11;HDAC2;HMGA2;H4C1;H3C13;H2AC4;PHF19;HASPIN;CHAF1A;H4C15;ASXL1;H4C14;NCAPG2;DOT1L;H3C1;RBBP4;KDM2B;ACTL6A;H3C7;H4C13;H3C6;H4C4;KAT5;KDM1A;MSL2;BRPF1;MMS22L;H2AZ1;DEK;SMARCB1;ANP32E;SFMBT1;FMR1;SUV39H1;CHD3;NUCKS1;RNF169;RNF168;H4C3;SPIN4;RBL1;H4C2;HNRNPU;HMGB1;H4C6;WDR5;NCAPD3;TOPBP1;H4C5;HDAC7;SMARCD1;BRD9;PCNA;NSD1;NR3C1;RIOX1;HDAC3;SPIN1;UIMC1;DCAF1;DNMT3A;RBBP7;PRDM5;SUV39H2;KMT5A;ENY2;SMCHD1;SMYD3;DPF3;PHIP;BAZ1B;ZZZ3;CHD1;RUVBL2;PBRM1;MCRS1;TTLL12;SETDB1;HMGN2;TADA3;HIRIP3;RPA1;UBN1;L3MBTL2;SGF29;PHF14;MTA2;ING3;SIRT2;SOX15;RAD54L2;TAF1L;YEATS4;H4C11;H4C12;SUZ12;RUVBL1;TET1;SMARCE1;MSH6;JMJD6;ARID1B;KDM8;RRP8;EHMT1;BRD4;CXXC1;ZMYND11;HCFC1;USP16;CABIN1;PRMT5;KMT2E;SAMD1;CHD4;HMGN3;RNF2;RSBN1;L3MBTL3;DMAP1;KMT2B;TET2;CTCF;PWP1;KDM5C;SIRT1;TRIM28;PHF2;BABAM1;FAM50A;EED;H1-2;JMJD1C;SMARCAD1;RBBP5;HDAC10;MORC3;MRGBP;PRMT6;HDAC6;KAT6A;PKN1;SMARCA4;RB1;SIRT7;MDC1;JARID2;ZBTB7A;RING1;BANF1;KMT5B;ARID2;BAP1;ING2;DNAJC2;TOX;VPS72;MSL3;H4C8;RAG2","GO:0006325","chromatin organization",9e-09,422
