"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,2.81e-08,NA,-0.788289333161352,-2.71980940446817,37,"KIF2C;NCAPG2;SPAG5;CDCA8;KNL1;CENPI;KIFC1;KIF18B;PLK1;NDC80;SMC4;KIF18A;NEK2;SKA1;ZWINT;KNTC1;SKA3;ESPL1;CENPK;SMC1A","GO:0000070","mitotic sister chromatid segregation",2.81e-08,37
"GO:0006325",1e-10,2.81e-08,NA,-0.447241285983702,-2.21842316853883,410,"H1-3;H4C6;H3C8;H4C13;H1-5;H2AC4;H3C7;H4C2;H1-4;H4C3;H3C10;H3C13;H3C2;H4C4;H4C11;H4C12;H3C1;H3C15;H3C14;H2AC8;H4C1;H4C15;H4C14;H3C3;TOP2A;H4C5;TOX;H3C12;H3C6;H3C11;NCAPG2;TET1;H2BC11;ASF1B;DTX3L;HMGB2;HDAC5;UHRF1;H1-2;EZH2;CHAF1B;HMGN2;RBL1;H4C9;RCCD1;PARP10;H4C8;HDAC6;MACROH2A2;CBX2;MLLT6;NSD2;KAT6B;DEK;PHF2;NEAT1;HIRIP3;PRDM5;PHF19;NUCKS1;HDAC4;MYOCD;SMARCC2;KMT2E;H2AZ2;NCAPD3;PHF14;CHD2;LOXL2;RBBP4;HMG20B;BRD8;SMARCD3;DNMT3A;MMS22L;TCF7L1;L3MBTL1;TET2;CHD3;BRD3;CHD6;KANSL1;HASPIN;SPIN4;TRRAP;RHNO1;MSL2;MDC1","GO:0006325","chromatin organization",2.81e-08,410
"GO:0006334",1e-10,2.81e-08,NA,-0.802478929507197,-3.33104735551583,101,"H1-3;H2BC10;H4C6;H3C8;H4C13;H1-5;H3C7;H2BC3;H4C2;H1-4;H4C3;H3C10;H3C13;H3C2;H2BC13;H4C4;H4C11;H4C12;H3C1;H2BC9;H3C15;H3C14;H2BC6;H4C1;H4C15;H4C14;H3C3;H2BC7;H4C5;H3C12;H2BC17;H3C6;H3C11;H2BC14;H1-1;H2BC11;ASF1B;HMGB2;H2BC4;H2BC15;H1-2;MCM2;H2BC8;CHAF1B;H4C9;H4C8;MACROH2A2;NASP;H2BC21;KAT6B;TSPY26P;HP1BP3","GO:0006334","nucleosome assembly",2.81e-08,101
"GO:0006412",1e-10,2.81e-08,NA,0.470700199137172,2.06360631466329,294,"MARS2;MRPL36;MRPL52;CPEB4;EFL1;MRPL17;TNIP1;MRPL14;MRPS12;CARS2;EEF1A2;TARS1;ETF1;EIF5A;MRPL55;EIF3H;EIF5AL1;EIF4EBP2;YARS2;EIF4E;MRPS2;MRPL32;MRPL21;EIF5A2;TUFM;MRPL57;EIF2S2;EIF2S1;NARS1;PAIP2;FARSA;CPEB1;DENR;EIF3D;MRPL10;EIF2A;MRPL35;EIF3B;GATC;MRPS5;MRPS7;EIF1AX;MRPL15;CPEB2;GFM2;MRPS23;HARS1;EIF3M;RPS28;LARP4;MRPL41;MTFMT;MRPL4;AGO2;MRPL12;UBA52;EIF6;MRPL27;HBS1L;ABCE1;EIF2B3;YARS1;MRPL34;RPS21;RPS24;RPS13;EPRS1;MTIF3;DHX29;MTRF1L;RPL17;IARS2;ABCF1;MRPS21;MRPL20;EIF2B4;MRPL51;EIF3I;CARS1;EIF2S3;MRPL30;MRPL37;EIF1;MRPS15;RPS26;EIF4H;KARS1;EIF5B;SARS1;RPS6KB2;FAU;MRPL47;RPL24;PSTK;RPS27A;RARS1;IARS1;MRPS18C;MRPL33;RPLP2;RPS27L;MRPL42;EIF3J;RPL38;EEF1B2;MRPL43;MRPL19;RPL35A;LINC01145;GFM1;MRPS11;RPL27;EIF4G1;AIMP1;MRPS30;RPL34;RPL6;RPL14;RPS5;MRPL18;EIF3A;MRPL58;EIF3E;MRPS18B;MRPL13;ELP6;PABPC4;MRPL28;RPL35;RPL23A;RPS25;GEMIN5;FARSB;EEF1E1;LARS2;GSPT2;RPL21;MRPL2;MRPS33;MTIF2;GARS1;EIF4E2;EIF2B1;MRPS17;RPL31;RPL8;PARS2;EIF1B;MRPL16;EIF3K;RPL7;EIF2S3B;GSPT1;RPL11;LARP1;RPL5;RPL36;NACA;RPLP1;RPS15;RPL9;MRPL22;MRPS18A;MRPL9;AIMP2;RPL29;RPL26;RPL32;MRPS16;RPL30;QRSL1;RPS14;RPS12;RPL27A;MRPS9;RPS7;RPL39;RMND1;LINC02591;RPL18;COPS5;RPL37A;RPL18A;RPS18;MRPS6;EIF3CL;RPS20;RPL36AL;RPL15;EIF3G;EIF3C","GO:0006412","translation",2.81e-08,294
"GO:0007155",1e-10,2.81e-08,NA,-0.3763427518776,-1.89326701310747,456,"COL15A1;RELN;CLDN11;NEDD9;COL14A1;ITGBL1;CASS4;VCAM1;PTK7;PLPP3;ITGA8;BCAM;DCHS1;CCN4;MYH10;COL12A1;COL16A1;MFAP4;RIPOR2;MXRA8;FES;COL18A1;PRKCA;THBS1;TRO;TROAP;TGFB1I1;COL8A2;PCDHGA6;LAMA5;ITGA1;FAT4;PCDH18;CLDN18;ICAM5;PGM5;NID2;SVEP1;CCL2;PCDH7;COL5A1;NID1;PRKCE;SUSD5;PCDHGC3;CDHR3;LPP;PCDHGA7;CDH6;CCN1;PCDHGB7;PCDHGA11;CELSR2;COL7A1;CDH11;SDK1;ITGA11;EFS;MCAM;NEGR1;EMILIN2;DAB1;PTPRM;LGALS3BP;ITGA7;PCDHGB3;OLR1;CD4;EDIL3;LAMA2;PCDHGB1;IGFBP7;COL8A1;THBS3;EMILIN1;EPHB4;SEMA4D;SCARF2;AJUBA;CCN2;PCDHB14;PCDHGA3;CNTNAP1;LSAMP;PARD3B;COL6A2;FBLN7;SORBS3;PCDHGC4;PCDHGA5;PCDHGB2;DDR2;CDH4;LAMB2;EMP2;COL6A3;PLXNC1;LAMA1;PCDHGA10;CLDN23;PCDHGA8;CXCL12;PRPH2;PCDHGB6;SEMA5A;CELSR3;PARVA;NLGN1;CDH24;PCDHGA2;NEO1;VTN;FAT1;DDR1;ITGB3BP;CDHR5;FBLN5;SSPN;COMP;PKP4;FN1;PCDHGB4;ITGA10;PCDHB13;COL13A1;OMD;CDH15;PCDHGA12;CADM4;ITGA4;MAGI1;PCDHB10;PCDHB7;CLSTN3","GO:0007155","cell adhesion",2.81e-08,456
"GO:0032200",1e-10,2.81e-08,NA,-0.942237273062226,-2.98996661997987,26,"H4C6;H3C8;H4C13;H3C7;H4C2;H4C3;H3C10;H3C2;H4C4;H4C11;H4C12;H3C1;H4C1;H4C15;H4C14;H3C3;H4C5;H3C12;H3C6;H3C11;H4C9;H4C8","GO:0032200","telomere organization",2.81e-08,26
"GO:0051301",1e-10,2.81e-08,NA,-0.434616137265608,-2.15839273520766,389,"NEDD9;BIRC5;KIF2C;PIMREG;FAM83D;SPC24;CDCA3;HELLS;NCAPG2;CDC20;MTCL1;ANLN;SPAG5;BUB1B;CENPF;SAPCD2;CDCA8;KNL1;CENPE;BUB1;UBE2C;CCNB2;NCAPD2;AURKB;NCAPH;TACC3;CENPA;CCNA2;TPX2;ASPM;EPB41L2;KIFC1;KIF18B;CDC6;USP44;PLK1;CEP55;NDC80;SMC4;KIF11;CIT;RACGAP1;NUF2;CDC25C;CDC25B;NCAPG;CDCA5;NEK2;ERCC6L;SKA1;PSRC1;PTTG1;CDK1;CCNB1;FBXO5;ZWINT;KIF14;PRKCE;EPB41;KIF20B;KNTC1;HAUS5;KIF23;HAUS4;AURKA;TIMELESS;CNTRL;KLHL13;CKS1B;PRC1;SPC25;SKA3;LIG1;CDCA2;CDT1;HAUS8;WEE1;PARD3B;CCNF;TTC28;CENPW;NCAPD3;SEPTIN1;LRRCC1;CCNE2;SMC1A;SEPTIN4;MASTL;GPSM2;HMCN1;ITGB3BP;CDC25A;EML4;SGO2;MIS18BP1;POGZ;SEPTIN6;OIP5;FIGN;NEK9;LATS2;HAUS7;CENPC;SYCP2;KIF13A;CDK2;SNX18;NDE1;NEK3;ANKRD53;SEPTIN11;LIG3;SETDB2;FBXL7;RCC1;FSD1;HAUS1;RGS14;INCENP;NUSAP1;CDC7","GO:0051301","cell division",2.81e-08,389
"GO:0061644",1e-10,2.81e-08,NA,-0.963543385021445,-2.76264713635378,17,"H4C6;H4C13;H2AC4;H4C2;H4C3;H4C4;H4C11;H4C12;H2AC8;H4C1;H4C15;H4C14;H4C5;H2BC11;CENPA;H4C9;H4C8","GO:0061644","protein localization to CENP-A containing chromatin",2.81e-08,17
"GO:1902600",1e-10,2.81e-08,NA,0.554646874590677,2.26799180053515,151,"ATP6V1B2;MT-ND3;SLC18B1;ATP6V0B;ATP6V1G1;ATP6V0E1;ATP6V0A1;SLC16A1;ATP6V1H;ATP6V1E1;ATP6V1D;SLC17A5;UQCRH;ATP6V1C1;ATP6V0D1;CLCN7;ATP6V0A4;ATP6V1F;ATP6V0D2;NDUFC2;SLC9B2;SLC9C1;ATP6AP2;SLC36A1;SLC25A4;SLC9A1;MT-ND2;MT-ND1;COX5A;CTNS;NDUFA8;NDUFB9;MT-CO3;COX7A2L;MT-CO1;LETM1;SLC25A5;MT-CO2;UQCR10;NDUFB10;NDUFS5;NDUFA1;SLC11A2;ATP5MC3;NDUFB2;MT-ND4L;COX6B1;NDUFB3;NDUFA3;ATP5PB;ATP5F1B;NDUFC1;ATP5MC1;SLC2A9;GHITM;MT-ATP6;NDUFS3;UQCRFS1;NDUFB5;ATP5PD;COX7A1;SLC9A7;CYC1;LAMP1;ATP5MG;ATP5ME;ATP6V1A;SLC9A6;LAMP2;SLC4A10;ATP6V1E2;SLC25A27;SLC15A4;NDUFS4;NDUFB6;MT-ATP8;NDUFB1;NDUFV3;ATP5F1E;ATP6AP1;ATP5MF;UQCRFS1P1;NDUFA2;SLC25A22;COX8A;SLC25A18;ATP6V0C;COX4I1;NDUFA6;SLC9A3;NDUFA12;NDUFS8;MT-ND6;COX5B;NDUFB7","GO:1902600","proton transmembrane transport",2.81e-08,151
"GO:0006954",1.32530144928287e-10,3.35168736523637e-08,0.826657301178302,0.464311306267882,2.02447340153078,286,"IL1B;CXCL8;CXCL5;CXCL3;IL1A;CXCL1;BMP2;C3;IL6;CXCL2;NAMPT;CHST2;GPR68;SPHK1;SEMA7A;TXNIP;HDAC9;TNFAIP3;F2RL1;CCL3;IRAK2;NFKBIZ;IL36RN;VNN1;CCL20;LY96;TUSC2;NDP;IL1RL1;CXCL6;F11R;CEBPB;TOLLIP;RIPK2;MACIR;CXCR4;LACC1;ZC3H12A;AGTR1;TNFAIP6;TNIP1;ADGRE5;CXCL10;CASP4;CCL26;CYBA;NRROS;PIK3CG;ADGRE2;HYAL3;CYP26B1;ANXA1;FAM3C;TRAF3IP2;C5AR2;ACOD1;CCL3L1;CCRL2;FAM210B;NLRP3;BDKRB1;HAVCR2;TTC1;THEMIS2;NINJ1;STARD7;RELB;SIRT6;MAP2K3;IL1RL2;HK1;PPBP;IL36B","GO:0006954","inflammatory response",3.35168736523637e-08,286
