"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000126709","IFI6","interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]",12896.6830849966,6.08547786734199,0.222936329867999,27.2969321372842,4.61263804220923e-164,1.13798393139344e-159
"ENSG00000163739","CXCL1","C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]",6761.71028967023,7.09925199071352,0.275304125739873,25.7869436995702,1.24238511690451e-146,1.53254416095756e-142
"ENSG00000111335","OAS2","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]",3451.25683909582,7.87719856112256,0.316332047629805,24.9016772728036,7.13533725244504e-137,5.86786351183572e-133
"ENSG00000108691","CCL2","C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]",17328.6276558775,5.11041843449457,0.210632018648509,24.262305737204,4.903333754856e-130,3.02425367665131e-126
"ENSG00000120337","TNFSF18","TNF superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11932]",2855.66995962761,6.55055305932836,0.272394910252676,24.048000945583,8.75961683593578e-128,4.32217013918743e-124
"ENSG00000162692","VCAM1","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]",13179.2294682057,4.97544761533775,0.207967609840902,23.9241467416202,1.71755859890719e-126,7.0623146989399e-123
"ENSG00000169245","CXCL10","C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]",2199.17672110161,7.00158840541509,0.304623933824814,22.9843673722684,6.68184678762508e-117,2.35496917282141e-113
"ENSG00000265972","TXNIP","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]",66839.7595029921,4.35054259046649,0.193550541515236,22.4775531827898,6.88299439234996e-112,2.12262943317082e-108
"ENSG00000157601","MX1","MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]",4092.98185104394,5.48201251576893,0.252502250471213,21.7107471538909,1.6239631168069e-104,4.45164378386033e-101
"ENSG00000112984","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]",15402.1103648422,-4.44908848234561,0.209232190917093,-21.2638813504015,2.45268523156034e-100,6.05101973478251e-97
"ENSG00000165949","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]",3131.95667489989,5.56205643840422,0.262522946836455,21.1869343439499,1.26041276149282e-99,2.82687665807175e-96
"ENSG00000167900","TK1","thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]",5684.60123197119,-4.65494324952488,0.229000804019844,-20.3271917295168,7.3913486835198e-92,1.51959969475931e-88
"ENSG00000148773","MKI67","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]",17352.4264690461,-4.53182468768133,0.223314070789543,-20.2935026514843,1.46757703729211e-91,2.78512254515644e-88
"ENSG00000117650","NEK2","NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]",1627.16786876921,-5.21448297407102,0.258953075781404,-20.1367871701699,3.51404842691314e-90,6.19250633859814e-87
"ENSG00000138642","HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]",7003.68827173234,4.76279773559236,0.237518541023896,20.0523197686415,1.92649315230859e-89,3.16856750404034e-86
"ENSG00000118971","CCND2","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]",12189.3475255988,4.9115119723431,0.246383024884477,19.9344576382484,2.04509769967185e-88,3.15341283428777e-85
"ENSG00000104043","ATP8B4","ATPase phospholipid transporting 8B4 (putative) [Source:HGNC Symbol;Acc:HGNC:13536]",1554.14414763714,5.72328600162379,0.289812262296124,19.7482534254394,8.30403959466648e-87,1.20511153435304e-83
