"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,1.57941176470588e-08,NA,-0.842423852802446,-2.7563737386073,38,"NEK2;SPAG5;PLK1;CDCA8;KIF2C;SKA3;NDC80;KIF18B;ZWINT;SKA1;KIFC1;NCAPG2;SMC4;CENPI;ESPL1;MAD2L1;KIF18A;KNTC1;PPP1CC;SMC1A;KNSTRN;CENPK;KNL1;KIF2A","GO:0000070","mitotic sister chromatid segregation",1.57941176470588e-08,38
"GO:0000278",1e-10,1.57941176470588e-08,NA,-0.679877816636874,-2.79885869406869,133,"NEK2;BIRC5;CENPF;PLK1;AURKB;CDCA8;CIT;SKA3;TPX2;KIF11;NDC80;PBK;CENPE;KIF15;KIF18B;SKA1;TUBA1B;CENPW;NCAPD2;ESPL1;KIF18A;TUBB6;AURKA;TUBA1C;FBXL7;TUBB;TUBGCP3;KIF22;MYB;WDHD1;TUBGCP4;MYBL2;HASPIN;PBRM1;TUBB4B;TUBB2B;INCENP;EML4;SMC3;PPP1R12A;CEP250;CDT1;MYBL1;RNF2;TUBB1;PKMYT1;PRDM5;SNX18;CLTC;TUBA1A;STAT5B;TUBGCP2;USP16;NEDD1","GO:0000278","mitotic cell cycle",1.57941176470588e-08,133
"GO:0000281",1e-10,1.57941176470588e-08,NA,-0.738468686193791,-2.70145124750939,67,"KIF20A;KIF4A;BIRC5;PLK1;CEP55;AURKB;CDCA8;CIT;CENPA;ANLN;KIF23;RACGAP1;MYH10;STMN1;ESPL1;CKAP2;ECT2;INCENP;RHOA;CFL1;ANK3;SNX18;ROCK2;APC;SEPTIN6;USP8;ARF6;EFHC1","GO:0000281","mitotic cytokinesis",1.57941176470588e-08,67
"GO:0006260",1e-10,1.57941176470588e-08,NA,-0.666915536123143,-2.72009825345092,125,"GINS2;POLQ;CDK1;CDC6;PCLAF;DTL;MCM5;CDC45;MCM10;TICRR;CHAF1B;SSRP1;ORC1;MCM7;MCM6;BLM;PTMS;DBF4;POLA1;CHEK1;MCM3;FAM111B;MCM4;MCM2;DTD1;RFC3;SET;CDK2;NASP;POLE2;PRIM1;RMI1;CDT1;DDX11;DONSON;GINS3;CHAF1A;DNA2;LIG3;RFC5;DHX9;FEN1;NFIA;POLD2;RBBP7;SUPT16H;RECQL4;POLD1;SIN3A;RFC2;DSCC1;LIG1;GINS1;RFC1;HELB;TOP1MT;WRN;KAT7;RBBP4","GO:0006260","DNA replication",1.57941176470588e-08,125
"GO:0006281",1e-10,1.57941176470588e-08,NA,-0.513705997440219,-2.39976192174375,411,"PTTG1;FOXM1;ERCC6L;UHRF1;CLSPN;BRIP1;POLQ;BARD1;EXO1;CDK1;RAD51AP1;PCLAF;FANCD2;FANCI;NEIL3;TICRR;CHAF1B;TIMELESS;SSRP1;PARP1;FANCA;UBE2T;BLM;POLA1;CHEK1;BRCA2;FANCG;RAD21;RRM1;RAD51;KIF22;H2AX;WDHD1;EME1;OGG1;DMC1;NUCKS1;MMS22L;ZGRF1;RFC3;PARPBP;SETD2;PSME4;FH;DOT1L;ETAA1;NUDT1;RFWD3;BRCA1;CDK2;SMC3;GEN1;SMC1A;USP28;SMCHD1;HMGB1;FANCE;RNF168;RIF1;POLE2;TDP1;DDX11;CGAS;DCLRE1B;PRKDC;CHAF1A;SFPQ;TOPBP1;DNA2;USP1;LIG3;RFC5;BANF1;FEN1;POLD2;TTF2;PAXIP1;BACH1;USP7;SUPT16H;RECQL4;POLD1;RPS3;SMC6;FANCB;SMC5;RUVBL2;SHLD2;FMR1;NOP53;RHNO1;MMS19;NBN;TRAIP;UCHL5;USP10;RFC2;MSH6;MCRS1;SPINDOC;XRCC5;USP3;LIG1;BRCC3;SMG1;HROB;RNF169;RAD51D;RFC1;ANKLE1;SLF2;HELB;FANCF;RAD54L;APEX2;NONO;KMT5B;SMARCAD1;WRN;UBR5;PWWP3A;CUL4A;HLTF;KAT7;RBBP4;NPM1;ACTL6A;NABP2;RBBP8;INO80D;RUVBL1;MUS81;AUNIP;APEX1;USP47;ABL1;ERCC2;ACTR5;PPP5C;FANCC;XRCC6;RAD18;MSH3;PARP4;MDC1;INO80;TRIM28;AGER;MAD2L2;EMSY;TAOK1;SMARCA5;NHEJ1;CUL4B;ABRAXAS1;XRCC2;SETX;ATRX;CDC14B;ASCC2;EPC2;SLF1;EXOSC10;FAM111A;TAOK3;EYA3;EYA4;FANCM;XRCC1;INIP;TTC5;MSH5;BABAM1;UBE2N;SETMAR;PIF1;MLH3;CDC5L;TONSL;ASF1A;ERCC1;BCCIP;UBQLN4;ERCC8;GTF2H3;PARP2;RFC4;FAN1;RNF138;VCP","GO:0006281","DNA repair",1.57941176470588e-08,411
"GO:0006325",1e-10,1.57941176470588e-08,NA,-0.475878748060778,-2.23647786552445,420,"H3C2;H1-5;H3C12;H3C3;H1-3;TOP2A;UHRF1;EZH2;H1-4;TOX;NCAPG2;NSD2;ASF1B;H3C11;CHAF1B;HMGB2;PHF19;H2AZ1;H2AZ2;SMARCB1;H3C7;PTMA;NSD1;DNMT1;H4C4;RBL1;H3C8;CHD3;CTCF;CBX2;ZNF618;SPIN1;SUV39H1;CDYL2;MSL2;NUCKS1;CARM1;TET2;MMS22L;HASPIN;ARID2;SETD2;PBRM1;TET1;DOT1L;DNMT3A;KMT2E;NCOR1;SMCHD1;HMGB1;HNRNPU;RNF168;JMJD1C;KAT6A;ANP32E;TET3;DEK;KDM1A;SUV39H2;PKN1;SMYD2;SFMBT1;PHF2;CHAF1A;NR3C1;TOPBP1;BANF1;RNF2;DHX9;NCAPD3;SMARCC1;BAZ1B;RBBP7;H2AC8;HMGN2;RCOR1;PRDM5;HDAC5;H4C2;RAD54L2;RUVBL2;TRIM24;SPIN4;FMR1;ZZZ3;RHNO1;CHD1;SMARCD1;DPF3;DCAF1;EHMT1;UBN1;MSH6;MCRS1;BRD9;USP3;USP16;BRCC3;PWP1;RNF169;CABIN1;ARID1B;KMT5A;ZNF518B;SETD5;BPTF;ZNF462;KMT5B;KMT2C;BRD3;SMARCAD1;H4C13;H4C5;PWWP3A;PHF14;HLTF;MYOCD;KAT7;RBBP4;ACTL6A;SGF29;HDAC2;RUVBL1;SUZ12;CHD8;ZMYND11;PHIP;TADA3;H3C1;ARID1A;KAT6B;CHD9;MLLT3;BAP1;MTA2;MDC1;KDM5A;TRIM28;JARID2;TAF1;EMSY;TLK2;HCFC1;SMARCA5;CHD6;ABRAXAS1;ATRX;WDR5;METTL4;PRKAA1;PRKAA2;RB1;UBN2;HDAC4;EPC2;PHF20;KDM8;JMJD6;BRD4;SAFB;KDM5B;EYA3;EYA4;KDM1B;L3MBTL3;HMGN4;RBBP5;USP22;ASH2L;TDRD3;TRRAP;ING3;KDM2B;BABAM1;SMARCE1;RSBN1;SMARCD2;HMGN1;SETMAR;TCF7L1;H3C6;DAPK3;TONSL;ASF1A;MYSM1;KDM4C;SIRT1;H3C13;TBL1XR1","GO:0006325","chromatin organization",1.57941176470588e-08,420
"GO:0006338",1e-10,1.57941176470588e-08,NA,-0.508818255322369,-2.30922831000574,297,"BUB1;SLFN11;EZH2;BARD1;CDK1;NSD2;HMGB2;HELLS;CHEK1;BRCA2;SMARCB1;NSD1;AURKA;FBL;PSIP1;MECOM;CHD3;PRKCA;JADE1;VRK1;CARM1;HASPIN;ARID2;PBRM1;TET1;RPS6KA4;BRCA1;CDK2;HMGB1;PAK1;JMJD1C;MYO1C;DEK;SUV39H2;HDGF;PKN1;SMYD2;PHF2;PRDM2;SFPQ;RNF2;RPSA;BAZ1A;GATAD2A;CLOCK;SMARCC1;PAXIP1;BAZ1B;ACTB;RBBP7;REST;PRMT1;YEATS2;CREBBP;RAD54L2;RUVBL2;PHC1;CHD1;SMARCD1;DPF3;DCAF1;UCHL5;NIPBL;USP10;ZNF827;TBR1;MCRS1;BRD9;USP16;ARID1B;KMT5A;JDP2;CHTOP;SETD5;BPTF;SF3B1;KMT5B;KMT2C;BRD3;SMARCAD1;CHRAC1;RBBP4;PRDM8;NPM1;ACTL6A;DDX21;INO80D;HDAC2;RUVBL1;CHD8;GATA3;BCL7C;ACTR5;ARID1A;PRMT3;MTA1;MTA2;KDM5A;INO80;NCOA3;JARID2;TAF1;HCFC1;SMARCA5;BAZ2B;CHD6;DPF1;ATRX;PRKAA1;NTMT1;PRKAA2;RB1;DYRK1A;NPM3;HDAC4;KDM8;JMJD6;BRD4;NAA50;SMARCA2;KDM5B;EYA3;TADA2A;GTF3C4;USP22;ING3;KDM2B;SMARCE1;RSBN1;SMARCD2;SETMAR;PAX6;PRMT2;MYSM1;KDM4C","GO:0006338","chromatin remodeling",1.57941176470588e-08,297
"GO:0006695",1e-10,1.57941176470588e-08,NA,-0.811604219270985,-2.63131941012555,36,"INSIG1;HMGCS1;MSMO1;FDFT1;HMGCR;DHCR24;MVD;SQLE;MVK;FDPS;DHCR7;IDI1;LSS;EBP;LBR;HSD17B7;ACLY;NSDHL;TM7SF2;G6PD;SC5D;SREBF1","GO:0006695","cholesterol biosynthetic process",1.57941176470588e-08,36
"GO:0006954",1e-10,1.57941176470588e-08,NA,0.539955078603561,2.31288656906299,327,"CXCL1;CCL2;VCAM1;CXCL10;TXNIP;IL6;FOS;SCG2;NAMPT;CXCL6;OLR1;CXCL8;NFKBIZ;PLA2G4C;C3;BMP2;CYP26B1;BLNK;CCL5;CAMK1D;CCL20;AGTR1;CCL7;CXCL3;TNFAIP3;S1PR3;IL1B;CXCL2;TLR3;BDKRB2;IL1R1;CXCL5;LY96;KIT;IL1A;TNFAIP6;NFKBIA;CCL11;HDAC9;VNN1;APOL3;ZC3H12A;ADM;C4A;FAM3C;LACC1;C4B;CCL13;CSF1;RARRES2;LETMD1;COL6A1;CHST2;LXN;CXCL11;IRAK2;CEBPB;CCL8;CYBA;PLD3;KLKB1;STAT3;HRH1;CD47;CD44;BDKRB1;CD14;ELF3;NR4A1;CRH;IDO1;CCR7;AOC3;NFE2L2;ACKR2;TUSC2;ATRN;CHI3L1;CASP4;NAGLU;TNIP1;ADORA1;IL34;LIAS;HYAL3;THEMIS2;PF4;CERS6;CCL26;IL18R1;BCL6;TNFRSF1A;BMP6;GGT5;PTGIR;NINJ1;TSPAN2;FKRP;TMEM258;IL17D;NFATC4;PTGFR;KDM6B;PRKCZ;PRKD1;FAM210B;IL10RB;IL1RL1;SETD4;F2R;IKBKB;PF4V1","GO:0006954","inflammatory response",1.57941176470588e-08,327
"GO:0006955",1e-10,1.57941176470588e-08,NA,0.578328940831478,2.3951556776328,257,"IFI6;CXCL1;CCL2;TNFSF18;CXCL10;IFI44L;IFI44;IL6;TNFSF15;CXCL6;CTSS;C7;CXCL8;C3;B2M;ICAM1;CCL5;HLA-B;CCL20;IL12A;FTH1;CCL7;LIF;CXCL3;IL1B;IFITM3;CXCL2;ACKR4;IL1R1;CXCL5;HLA-E;IL1A;C1R;TREM2;HLA-C;ITGB8;TRIM22;HLA-DMA;FAS;CCL11;SLPI;CXCL12;ULBP1;CCL13;CST3;ACKR3;CXCL11;CEBPB;CCL8;HLA-A;MR1;IL16;STAT3;TNFSF10;FCGRT;SP100;TNFSF9;RAET1G;SAMHD1;CCR7;AFP;ACKR2;SMAD3;MADCAM1;HLA-DMB;LTBR;MICA;GPR65;CTSC;HLA-H","GO:0006955","immune response",1.57941176470588e-08,257
