"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","neg_log10_pvalue"
"ENSG00000126709","IFI6","interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]",12896.6830849966,6.08547786734199,0.222936329867999,27.2969321372842,4.61263804220923e-164,1.13798393139344e-159,"Upregulated",163.336050623527
"ENSG00000163739","CXCL1","C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]",6761.71028967023,7.09925199071352,0.275304125739873,25.7869436995702,1.24238511690451e-146,1.53254416095756e-142,"Upregulated",145.905743759859
"ENSG00000111335","OAS2","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]",3451.25683909582,7.87719856112256,0.316332047629805,24.9016772728036,7.13533725244504e-137,5.86786351183572e-133,"Upregulated",136.146585495091
"ENSG00000108691","CCL2","C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]",17328.6276558775,5.11041843449457,0.210632018648509,24.262305737204,4.903333754856e-130,3.02425367665131e-126,"Upregulated",129.309508544657
"ENSG00000120337","TNFSF18","TNF superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11932]",2855.66995962761,6.55055305932836,0.272394910252676,24.048000945583,8.75961683593578e-128,4.32217013918743e-124,"Upregulated",127.057514890371
"ENSG00000112984","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]",15402.1103648422,-4.44908848234561,0.209232190917093,-21.2638813504015,2.45268523156034e-100,6.05101973478251e-97,"Downregulated",99.6103581839453
"ENSG00000167900","TK1","thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]",5684.60123197119,-4.65494324952488,0.229000804019844,-20.3271917295168,7.3913486835198e-92,1.51959969475931e-88,"Downregulated",91.1312763095931
"ENSG00000148773","MKI67","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]",17352.4264690461,-4.53182468768133,0.223314070789543,-20.2935026514843,1.46757703729211e-91,2.78512254515644e-88,"Downregulated",90.8333990921296
"ENSG00000117650","NEK2","NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]",1627.16786876921,-5.21448297407102,0.258953075781404,-20.1367871701699,3.51404842691314e-90,6.19250633859814e-87,"Downregulated",89.4541922578105
"ENSG00000099194","SCD","stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]",119435.176050765,-3.74969016952799,0.194556531908637,-19.2730109482463,9.05136760330338e-83,1.17529626390051e-79,"Downregulated",82.0432857967401
