"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0002181",1e-10,4.34e-08,NA,-0.590979943069602,-2.35710303215843,125,"RPL7;RPL22L1;RPS6;RPS23;RPS3A;RPL6;RPS8;RPSA;RPL5;RPL4;RPL9;RPS20;RPS4X;RPL14;RPS25;METTL18;RPL3;RPL10;RPL21;RPS18;RPS13;OGT;RPL15;RPL10A;RPL22;ATXN3;RPS15A;RPLP0;RPL7A;RACK1;RPS27A;RPL13A;RPL31;RPL37;RPL11;RPS3;RHEB;RPL36AL;RPLP1;RPL12;RPS12;RPL23;RPL34;RPL29;RPL23A;RPL24;RPS27;RPS14;RPL19;RPS9;RPL35A;RPL27;RPL13;RPL30;RPS11;RPS2;RPL32;USP4;RPS5;RPL38;RPS7;SARS1;RPL27A;RPL26;RPL17;RPLP0P6;RPS6KB1;RPL39;RPL18A;RPL36A;RPS16;RPS19;ZC3H15;RPL8;RPS17;RPS24;RRAGC;RPL35;RPL37A","GO:0002181","cytoplasmic translation",4.34e-08,125
"GO:0002376",1e-10,4.34e-08,NA,0.398840642650592,1.90205026987644,461,"MMP3;OAS2;OAS1;IFI6;TNFSF18;MX2;ISG15;IFI27;C3;MCOLN2;GBP4;RSAD2;TMEM106A;MX1;CD14;TAP1;LBP;CSF1;TAP2;IGHA1;IFITM1;HLA-C;IFITM3;OAS3;IFI35;IFIT3;ADGRE5;BST2;ULBP2;TRIM14;CD177;TLR3;IGHM;IRF1;HLA-B;LYN;PTPRJ;PTX3;TEC;OASL;TNFSF13B;PSMB9;RAET1G;CTSF;TXK;PARP14;SSC5D;IFIH1;DBNL;PARP9;SAMHD1;HLA-DOB;DDX60;PML;DTX3L;ANXA1;ADGRE1;ERAP2;CADM1;HERC5;RUBCN;ADGRE2;TNFRSF21;C9;TLR4;MCOLN1;LAT2;IDO1;LGALS9;IGHA2;SERINC3;HK1;TRIM29;SLC15A3;ZDHHC18;TREM1;NLRP10;ZNFX1;TRPM4;B2M;ORAI1;CCDC92;APOBEC3F;IFIT1;FCMR;PTK2B;INPPL1;RNF213;CTPS1;PDCD1LG2;UNC93B1;POLR3K;TFE3;TICAM1;IRF7;HLA-E;MST1R;CD4;FCGR1A;FCGR2A;DHX58;TAPBPL;NLRX1;GBP2;NOD2;GBP3;ZDHHC5;IL4R;OTUB1;AKIRIN2;CHID1;EIF2AK2;CD81;TLR5;HLA-A;ALCAM;PSMB8;NLRC5;ZC3HAV1;NLRC4;PRKCB;STING1;APOBEC3H;TREML4;ZFPM1;LGR4;TMEM120A;SUSD4;TMED1;ITGAM;RAET1L;THEMIS;CD28;CD40;IRF9;IRF3;PRKD2;MAP4K2;RNF166;TBKBP1;SRC;MR1","GO:0002376","immune system process",4.34e-08,461
"GO:0006281",1e-10,4.34e-08,NA,-0.440375834944042,-2.01211865061701,411,"BARD1;NEIL3;CLSPN;ABRAXAS1;USP51;EXO1;CDK1;BACH1;POLQ;USP28;FANCB;FANCD2;BRIP1;FANCF;SMCHD1;EYA2;REV3L;SPIDR;DMC1;CHAF1B;POLA1;SETX;BLM;SUPT16H;TICRR;EYA4;SMC6;HELB;RBBP4;NUCKS1;RNF169;SLF2;FAM111A;RRM1;BRCA2;NPM1;RAD51D;MSH2;ERCC6L;MSH6;SMC3;RIF1;NOP53;PCLAF;SSRP1;RFC3;USP1;DCLRE1C;RAD51AP1;RPS3;GEN1;MSH3;POLE2;ALKBH2;APEX1;HMGB1;CUL4B;WDR48;ASF1A;RFC1;USP3;PMS1;ACTL6A;SHLD2;PARP1;RAD21;CHEK1;SETMAR;TOPBP1;MCM9;WDHD1;ETAA1;RNF168;PRIMPOL;PAGR1;LIG3;TTC5;ERCC6L2;FH;POLD3;RBBP8;SFR1;SMARCAD1;EPC2;PRKDC;GTF2H3;PAXIP1;INIP;RAD1;UHRF1;TIMELESS;MMS22L;PALB2;BRCC3;SMC5;BTG2;DDX11;POLI;PIF1;ATRX;CGAS;UFL1;XRCC5;DCLRE1A;SFPQ;SETD2;EME1;LIG1;GTF2H1;TAOK3;RNF138;ACTR5;ZBTB1;ZFYVE26;SMARCA5;TRAIP;ZGRF1;JMY;SMG1;RAD23B;ZRANB3;RHNO1;APLF;SHPRH;RAD50;RFC2;FOXM1;USP45;FANCE;KMT5B;USP47;FANCG;ASCC1;ERCC8;NSMCE2;RFC5;UIMC1;FMR1;RAD17;CDC5L;FEN1;FANCI;BOD1L1;ACTR8;RFC4;RFWD3;ERCC5;MORF4L1;FAAP24;MORF4L2;PMS2;BCCIP;TDG;FANCA;RECQL;REV1;PTTG1;RAD9B;ATM;INO80;RAD54L;MRE11;TDP2;KIN;MLH1;RAD18;XPC;SMC1A;NABP2;EXOSC10;RBX1;CHD1L;FAN1;PCNA;OGG1;HPF1;ABL1;NBN;SUMO1","GO:0006281","DNA repair",4.34e-08,411
"GO:0006412",1e-10,4.34e-08,NA,-0.521409038006746,-2.3119168979856,294,"HYDIN2;EIF4B;RPL7;EIF3L;RPL22L1;RPS6;NARS2;EEF1A1;RPS23;EEF1A1P5;RPS3A;RPL6;RPS8;SRBD1;RPSA;EIF3E;RPL5;RPL4;RPL9;RMND1;RPS20;RPS4X;RPL14;RPS25;AARS1;RPL3;RPL10;GARS1;RPL21;RPS18;RPS13;RPL15;EEF2;PABPC4;RPL10A;RPL22;EIF3M;RPS15A;DARS2;WARS2;WARS1;RPLP0;TARS1;RPL7A;RACK1;RPS27A;RPL13A;TARS3;RPL31;DARS1;RPL37;RPL11;RPS3;RPL36AL;MRPL30;EIF2S3;RPLP1;EIF3A;RPL12;RPS12;RPL23;RPL34;RPL29;RPL23A;RPL24;RPS27;MRPL3;EEF1B2;EPRS1;NACA;RPS14;RPL19;QARS1;RPS9;EIF4E3;MRPL11;HBS1L;LARS1;RPL35A;EIF2A;EIF3C;EIF3CL;RPL27;EIF3H;RPL13;GUF1;CPEB1;EIF4A2;RPL30;RPS11;YARS1;RPS2;SEPSECS;RPL32;GATB;RPS5;SECISBP2;RPL38;RPS7;SARS1;RPL27A;METTL17;EIF4G2;RPL26;RPL17;MTIF2;GFM1;EIF2D;EIF2S2;IARS1;EIF3F;NARS1;MARS1;AGO2;EIF2S1;RPL39;MRPL15;MRPS30;RPL18A;HARS2;RPL36A;RPS16;RPS19;ABCE1;EIF1B","GO:0006412","translation",4.34e-08,294
"GO:0045087",1e-10,4.34e-08,NA,0.411449728909715,1.92152860301793,387,"MMP3;OAS2;OAS1;IFI6;MX2;ISG15;IFI27;C3;MCOLN2;GBP4;APOL1;RSAD2;TMEM106A;MX1;CD14;LBP;CSF1;NCF2;CYBA;VNN1;IFITM1;TRIML2;HLA-C;IFITM3;OAS3;IFI35;IFIT3;BST2;TRIM14;CD177;TLR3;IGHM;IRF1;HLA-B;LYN;PTX3;SHFL;OASL;DTX4;PARP14;SSC5D;IFIH1;PARP9;NPY;SAMHD1;DDX60;PML;DTX3L;ANXA1;UBE2L6;HERC5;C9;ADAM15;TLR4;NQO1;SERINC3;HK1;TRIM29;SLC15A3;ZDHHC18;TREM1;FBXO9;NLRP10;ZNFX1;B2M;CCDC92;APOBEC3F;IFIT1;TRIM69;RELA;UNC93B1;ATG9A;JCHAIN;POLR3K;TICAM1;IRF7;HLA-E;MST1R;FCGR1A;DHX58;NLRX1;GBP2;NOD2;GBP3;ZDHHC5;EPG5;AKIRIN2;UBA7;CHID1;EIF2AK2;TRIM73;TLR5;HLA-A;NLRC5;ZC3HAV1;NLRC4;STING1;APOBEC3H;TREML4;TRAF2","GO:0045087","innate immune response",4.34e-08,387
"GO:0051301",1e-10,4.34e-08,NA,-0.501608704432326,-2.28304755759562,385,"CIT;AURKA;CENPF;ASPM;BUB1B;ANLN;UBE2C;GPSM2;BUB1;NEK2;KIF14;NCAPG;HELLS;NCAPH;CCNG2;CEP55;KLHL13;CDCA2;NDC80;KIF2C;SKA3;KNL1;TPX2;CDK1;HMGA2;SEPTIN6;LRRCC1;KIF11;FBXO5;CCNA2;SMC4;SPC25;SKA1;SEPTIN10;CDK4;FAM83D;CENPE;NUF2;SPAG5;USP44;SEH1L;TUBB;ARHGEF2;BIRC5;CDK14;STAG1;KIF18B;SNX9;CNTRL;NCAPG2;CDC7;CDC25C;SGO1;ERCC6L;SMC3;SNX18;ZWILCH;STAG2;CDC6;KIF20B;MIS18BP1;KLHL9;ZNF830;NCAPD2;KLHL42;KIFC1;CCNG1;RPS3;CCNB2;BOD1;MASTL;EML4;CDC20;HNRNPU;PARD6B;USP16;KIF2A;CDCA8;RAD21;CDCA5;ITGB3BP;HAUS1;LIG3;SEPTIN11;KIF23;CCDC66;WEE1;NRDE2;FIGN;PPP1CB;RBBP8;PPP1CC;MITD1;INTU;CENPW;MCMBP;TTC28;NEK3;CDCA3;TUBA1B;TIMELESS;EVI5;USP37;BRCC3;SMC5;PIMREG;CDC23;RACGAP1;TPR;AURKB;CENPA;CCNE2;NEK1;DCLRE1A;LIG1;SAPCD2;PDS5A;ZFYVE26;CHMP3;SMC2;GNAI3;PDS5B;PLK1;SPAST;VRK1;MAP9;BUB3;TNKS;MAD2L1;CSNK1A1;CKAP5;NEDD1;CKS1B;SGO2;SPART;NR3C1;MIS12;NSMCE2;SEPTIN7;NUMA1;ANAPC16;CCNT2;ARPP19;CENPC;SETDB2;ACTR8;PRC1;CCNB3;ZWINT;SEPTIN2;CETN3;PKN2;MTCL1;TRIOBP;IST1;HAUS6;PTTG1;PARD3B;SPC24;BORA;MIS18A;ZW10;RHOA;INO80;INTS13;VPS4B;RCC1;EPB41;HAUS4;ANAPC4","GO:0051301","cell division",4.34e-08,385
"GO:0000278",6.33910841203189e-10,2.35814832927586e-07,0.801215574617779,-0.566133543272951,-2.26896037766207,129,"CIT;AURKA;CENPF;BCL2;NEK2;KIF15;NDC80;SKA3;FGF10;TPX2;KIF11;MYBL2;SKA1;CENPE;PRDM5;TUBB;BIRC5;TUBB6;KIF18B;SNX9;LIPA;KIF18A;PBK;SMC3;SNX18;CEP250;EDNRA;ZNF830;NCAPD2;GEM;AZI2;EML4;PBRM1;USP16;CDCA8;WDHD1;TUBB3;WEE1;NRDE2;RNF2;CENPW;YEATS4;UBA3;NEK3;TUBA1B;CDC23;AURKB;MCPH1;PLK1;TUBGCP3;MYB;NEDD1;MIS12;PLK2;ARPP19;CENPC;SETDB2;TUBE1","GO:0000278","mitotic cell cycle",2.35814832927586e-07,129
"GO:0007059",8.02673271993236e-09,2.61270150033798e-06,0.747739663149885,-0.564258309111401,-2.17985873798675,106,"MKI67;TOP2A;CENPF;DLGAP5;BUB1;NEK2;TTK;BEX4;CENPU;CDCA2;NDC80;KIF2C;SKA3;HJURP;KNL1;SPC25;SKA1;CENPE;NUF2;SPAG5;USP44;SEH1L;ESCO2;BIRC5;DIAPH3;STAG1;SGO1;STAG2;CENPM;RPS3;CENPI;RAD21;CTCF;ITGB3BP;CENPK;CENPW;MAP3K20;SMC5","GO:0007059","chromosome segregation",2.61270150033798e-06,106
"GO:0006695",2.18266852727453e-08,6.31518760558098e-06,0.73376198835648,-0.750540425816131,-2.41428960094985,36,"HMGCS1;HMGCR;MVD;LSS;FDPS;HSD17B7;EBP;FDFT1;SQLE;DHCR24;LBR;MVK;SC5D;LIPA;TM7SF2;DHCR7;INSIG1;NSDHL;IDI1;MSMO1;CYP51A1;SREBF1","GO:0006695","cholesterol biosynthetic process",6.31518760558098e-06,36
"GO:0006325",3.70263742259683e-08,9.64166784844214e-06,0.719512826338911,-0.388163273336581,-1.76986314039917,416,"TOP2A;H1-5;H3C2;TET1;TOX;JARID2;HMGB2;PTMA;H1-4;H1-3;H3C12;ABRAXAS1;EZH2;PHF14;HMGA2;H3C11;TET2;SATB1;KDM7A;SPIN4;SMCHD1;SIRT1;CBX2;SMARCE1;EYA2;PRDM5;PHIP;KDM3A;CHAF1B;SNAI2;EYA4;RBBP7;H2AZ2;NCAPG2;RBBP4;DAXX;OGT;NUCKS1;RNF169;HDAC9;MSH6;SMARCC1;H2AZ1;SFMBT1;TDRD3;SUV39H2;PRDM6;DEK;RBL2;ZNF518A;ZZZ3;KDM2B;MYSM1;PBRM1;HMGB1;RCBTB1;NSD1;HNRNPU;KAT6A;ASF1A;USP16;USP3;ACTL6A;DNMT3A;RBL1;CTCF;SETMAR;TOPBP1;HMGN1;CHD1;KDM4A;MTF2;RNF168;KMT2E;ASF1B;TET3;TRIM24;MBTD1;TBL1XR1;RNF2;SMARCAD1;EPC2;HDAC5;YEATS4;METTL4;UHRF1;PYGO1;KDM5A;ANP32E;MMS22L;SPIN1;BRCC3;NCOR1;ATRX;MSL3;CHD6;SETD2;CHD9;KAT6B;DHX9;SPIN3;ARID2;SMARCA5;ING3;MORC3;L3MBTL3;CHD4;HDAC2;SMYD2;RHNO1;KDM1A;ENY2;PWP1;SETDB1;RNF20;GPX4;SAFB;KMT5B;CBX3;TAF1;H3C3;BEND3;NR3C1;HMGN4;KDM5B;BAZ1B;UIMC1;FMR1;RAD17;KDM1B;SETDB2;ATG5;ARID4A;MORF4L1;MORF4L2;DNMT1;BMI1;ASH2L","GO:0006325","chromatin organization",9.64166784844214e-06,416
