"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","neg_log10_pvalue"
"ENSG00000170373","CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]",13577.0184523763,9.21413863013691,0.344268564251171,26.7643914865677,8.39691207766657e-158,1.84261838632315e-153,"Upregulated",157.075880394198
"ENSG00000149968","MMP3","matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]",14592.1859283747,5.48633749499438,0.221587656523458,24.7592198097622,2.46672361655441e-135,2.7064891520835e-131,"Upregulated",134.607879508204
"ENSG00000261115","TMEM178B","transmembrane protein 178B [Source:HGNC Symbol;Acc:HGNC:44112]",4575.85684362441,4.71051652891018,0.211175867798153,22.3061308000051,3.22190205158445e-110,2.35671395399898e-106,"Upregulated",109.491887666618
"ENSG00000184374","COLEC10","collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]",13354.628775094,4.20710015565016,0.189515190576786,22.1992767062415,3.49021011804598e-109,1.91472927076002e-105,"Upregulated",108.457148426806
"ENSG00000240694","PNMA2","PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]",2082.65335027575,5.64697805925288,0.25658628756279,22.0081053936719,2.40848334273732e-107,8.80862641217128e-104,"Upregulated",106.618256352954
"ENSG00000121769","FABP3","fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]",6314.29017159017,-4.27346826449,0.193553615816931,-22.0789895680997,5.03211873481576e-108,2.20849627033594e-104,"Downregulated",107.298249120093
"ENSG00000105989","WNT2","Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]",1172.26441342455,-5.8065738274413,0.267708646538092,-21.6899002050541,2.55540750681814e-104,7.00948279120216e-101,"Downregulated",103.592539833748
"ENSG00000133110","POSTN","periostin [Source:HGNC Symbol;Acc:HGNC:16953]",22601.4265337985,-4.3152485571056,0.204995881551107,-21.0504158642318,2.26682298199578e-98,5.52701816854614e-95,"Downregulated",97.6445823929498
"ENSG00000136546","SCN7A","sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]",4410.84238839211,-5.60701590672455,0.272903361758305,-20.5457927326317,8.39298823736043e-94,1.53479778233864e-90,"Downregulated",93.0760833855433
"ENSG00000149256","TENM4","teneurin transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:29945]",1315.78768130304,-4.82972252866438,0.249639088155709,-19.3468201007524,2.16813043653023e-83,3.39838959280139e-80,"Downregulated",82.6639145938305
