"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,1.20166666666667e-08,NA,-0.828381747094436,-2.91368787609952,38,"SKA3;NDC80;NEK2;SKA1;SPAG5;KIF18B;PLK1;CDCA8;KIF2C;KNL1;SMC4;KIFC1;CENPI;NCAPG2;KNTC1;KIF18A;ZWINT;MAD2L1;CENPK;KNSTRN;ESPL1;SMC1A;NUSAP1;INO80;SKA2;PPP1CC;ZW10","GO:0000070","mitotic sister chromatid segregation",1.20166666666667e-08,38
"GO:0000278",1e-10,1.20166666666667e-08,NA,-0.708289866604716,-3.14097648419822,138,"CENPF;KIF15;SKA3;NDC80;MYBL2;CIT;NEK2;SKA1;CENPE;KIF11;KIF18B;PLK1;CDCA8;NCAPD2;BCL2;TUBGCP3;BIRC5;TPX2;AURKB;PBK;KIF22;EML4;AURKA;MYB;HASPIN;KIF18A;CENPW;POLE;WDHD1;STAT5B;XRCC2;CDC25B;GEM;TUBGCP4;ESPL1;PKMYT1;CDT1;SMC3;TUBB;PBRM1;TUBA1B;TUBA3D;PRDM5;NEDD1;CDC23;CENPC;INCENP;WEE1;STAT5A;YEATS4;CDK11B;MYBL1;CEP250;RNF2;TUBA8;TUBD1;NRDE2;NUDT15;SKA2;ZW10;TUBA1C;TUBA3E;USP16;SNX9;ZNF830;TADA3;TUBB1;MCPH1;ABL1;NLE1","GO:0000278","mitotic cell cycle",1.20166666666667e-08,138
"GO:0000398",1e-10,1.20166666666667e-08,NA,-0.532393448888451,-2.45083205185113,177,"ZCCHC8;BUD13;HNRNPH1;U2AF1;RBMX;HNRNPF;TRA2B;SART3;HNRNPU;HNRNPM;SYNCRIP;SF3A3;HNRNPK;HNRNPR;SF3B3;LSM2;SRSF1;PRPF38A;DHX15;DDX46;LSM6;SNRPF;SNRPA;DHX8;SNRNP40;DDX39A;HNRNPA3;CWF19L2;HNRNPA1;PAXBP1;SNRPD1;HNRNPA2B1;SNRPE;PPIH;SNRNP200;YJU2;PRPF31;RBM6;SRSF10;LSM8;AQR;GEMIN5;ISY1;RBM14;MAGOHB;FRG1;CWC22;CWC25;CDC5L;GCFC2;SF3B1;PRPF19;PPWD1;SNRNP35;SNRPB2;DBR1;DHX35;RSRC1;CWF19L1;PPIL1;PLRG1;SRRM1;CWC27;FBXO24;NCBP1;SMU1;GPKOW;YTHDC1;SNRPG;RBM10;PNN;USP39;GPATCH1;CRNKL1;MTREX;PRPF40B","GO:0000398","mRNA splicing, via spliceosome",1.20166666666667e-08,177
"GO:0000724",1e-10,1.20166666666667e-08,NA,-0.640301788890304,-2.79060678922689,120,"PARP1;SFPQ;BLM;PLK1;RAD51D;DMC1;RAD51AP1;RAD54L;BRCA2;FEN1;LIG3;UHRF1;HELLS;RAD51;PRKDC;ANKLE1;NUCKS1;BRCA1;DYRK1A;RFWD3;RMI1;MMS22L;AUNIP;TOP3A;MCM8;GEN1;XRCC2;SMC6;TOPBP1;RAD54B;SLF2;H2AX;SLX1B;KAT5;CHD4;KMT5A;MCM9;SMC5;INO80;RECQL4;SLF1;RBBP8;ASTE1;MRE11;RPA3;XRCC3;NABP2;KDM4D;MBTD1;NSMCE4A","GO:0000724","double-strand break repair via homologous recombination",1.20166666666667e-08,120
"GO:0006260",1e-10,1.20166666666667e-08,NA,-0.729799248520359,-3.2357847678806,128,"MCM10;CHAF1B;TICRR;POLA1;BLM;CDC6;POLQ;MCM3;PCLAF;GINS2;ORC1;DTL;FAM111B;DHX9;SSRP1;RFC5;MCM7;CDC45;CDK1;POLE2;FEN1;LIG3;RFC3;RBBP4;DDX11;MCM5;PRIM1;MCM4;CHEK1;RMI1;SET;RFC4;DSCC1;GINS1;NASP;SUPT16H;RFC2;POLE;DBF4;FAM111A;CHAF1A;DNA2;MCM6;GINS3;CHTF8;MCM2;LIG1;MCMBP;CDT1;NFIA;ORC6;GINS4;RBBP7;AGER;RNASEH2A;CDK2;DONSON;CHTF18;PCNA;RECQL4;RFC1;POLA2;POLD3;PTMS;PRIM2;DUT;NAP1L1;RPA3","GO:0006260","DNA replication",1.20166666666667e-08,128
"GO:0006281",1e-10,1.20166666666667e-08,NA,-0.587112669121783,-2.99278953041155,415,"EXO1;CLSPN;PARP1;CHAF1B;TICRR;SFPQ;POLA1;BLM;FANCD2;POLQ;BRIP1;BARD1;ERCC6L;PCLAF;FOXM1;RAD51D;SSRP1;FANCG;TIMELESS;RFC5;PAXIP1;FANCA;OGG1;PIF1;DMC1;RAD51AP1;UIMC1;TRAIP;RAD54L;CDK1;RNF168;POLE2;NEIL3;BRCA2;FEN1;FANCI;LIG3;UHRF1;RFC3;RAD51;RBBP4;EME1;KIF22;DDX11;PRKDC;ANKLE1;UBE2T;NUCKS1;ZGRF1;BRCA1;RRM1;PTTG1;RFWD3;CHEK1;RFC4;MSH6;USP28;SUPT16H;MMS22L;RFC2;FANCC;FANCE;AUNIP;SMCHD1;POLE;WDHD1;TOP3A;MCM8;FAM111A;PARPBP;CHAF1A;GEN1;DNA2;XRCC2;HMGB1;SMC6;TOPBP1;EEPD1;MUTYH;FAAP24;LIG1;MSH2;USP1;RAD21;RAD54B;DCLRE1C;ALKBH2;SMC1A;CGAS;SMC3;FANCF;SLF2;FANCB;H2AX;DCLRE1B;HROB;CYREN;USP3;AGER;NUDT1;SLX1B;KAT5;FH;XRCC5;TTF2;RPS3;FMR1;SHLD1;ACTR5;TREX2;CDK2;TDP1;MCM9;EYA4;RIF1;SMC5;MSH5;PCNA;INO80;RHNO1;RECQL4;RFC1;POLD3;RAD18;MDC1;SLF1;SETMAR;RBBP8;ACTL6A;NOP53;NHEJ1;CUL4B;FANCL;DCLRE1A;USP51;BACH1;MMS19;MRE11;RPA3;NONO;PAGR1;NPM1;SMG1;XRCC3;NABP2;USP7;POLD2;CHD1L;HPF1;NSMCE4A;SMARCAD1;MCRS1;POLD1;FANCM;MSH3;ABL1;CDC5L;RAD52;RUVBL1;PRPF19;EPC2;RNF169;MUS81;XRCC6;SHLD3;PRIMPOL;REV1;WRN;PALB2;HELB;SETD2;USP10;SLX1A;RNF138;PRMT6;RBX1;INO80C;EXOSC10;ERCC6L2;DOT1L;ETAA1;REV3L;MLH1;HLTF;BANF1","GO:0006281","DNA repair",1.20166666666667e-08,415
"GO:0006302",1e-10,1.20166666666667e-08,NA,-0.651077584584307,-2.67717989598556,88,"PARP1;CDCA5;POLQ;PLK1;ESCO2;BRIP1;UIMC1;RAD54L;RNF168;TRIP13;BRCA2;FEN1;LIG3;HELLS;NSD2;EME1;PRKDC;ZGRF1;BRCA1;SMCHD1;HMGB1;SMC6;TOPBP1;MSH2;RAD21;DCLRE1C;H2AX;KAT5;XRCC5;ACTR5;TDP1;SMC5;INO80;NHEJ1;TENT4A;MRE11","GO:0006302","double-strand break repair",1.20166666666667e-08,88
"GO:0006310",1e-10,1.20166666666667e-08,NA,-0.635069441700448,-2.7344013312626,104,"EXO1;SFPQ;BLM;RAD51D;HMGB3;PAXIP1;PIF1;RAD51AP1;HMGB2;RAD54L;BRCA2;FEN1;LIG3;RAD51;EME1;PRKDC;BRCA1;PSMC3IP;TOP3A;GEN1;XRCC2;HMGB1;SMC6;MND1;LIG1;RAD21;DCLRE1C;H2AX;HROB;SLX1B;XRCC5;ACTR5;SMC5;INO80;RECQL4;ASTE1;ACTL6A;MRE11;RPA3;IHO1;NONO;PAGR1;XRCC3;NSMCE4A;MCRS1;RAD52;RUVBL1;MUS81;XRCC6;WRN;PALB2;SLX1A","GO:0006310","DNA recombination",1.20166666666667e-08,104
"GO:0006325",1e-10,1.20166666666667e-08,NA,-0.549483264336416,-2.80459288818716,428,"H1-4;EZH2;H1-3;TOP2A;H3C2;H3C12;H3C11;CHAF1B;MSL2;H1-5;PTMA;H2AZ2;ASF1B;CBX2;SFMBT1;DHX9;H3C3;DNMT1;RBL1;HMGB2;UIMC1;DEK;KDM1A;RNF168;H2AC8;NCAPG2;UHRF1;H3C6;NSD2;H4C5;RBBP4;HNRNPU;H3C10;H4C1;NUCKS1;H3C1;HASPIN;H3C8;H4C13;H4C2;NCAPD3;H4C4;H2AC4;H4C3;MSH6;H4C15;SUV39H2;H4C14;PHF19;H3C15;H3C14;NSD1;MMS22L;H3C13;BAZ1B;H2BC11;SMCHD1;ANP32E;H3C7;ING3;CHAF1A;H4C6;SPIN4;KDM8;HMGB1;TOPBP1;TET1;H2AZ1;SMARCB1;CHD3;HMGN2;ARID1B;TET3;SGF29;TOX;KDM2B;SMARCD1;PBRM1;DNMT3A;RBBP7;HDAC4;USP3;PRDM5;METTL4;PHF2;SIRT1;H4C12;KAT5;H4C11;PHF14;CTCF;HIRIP3;SETDB1;SUV39H1;FMR1;KAT6A;MLLT6;L3MBTL3;CHD4;YEATS4;ZZZ3;KMT5A;MYOCD;H3-4;JARID2;EYA4;ING1;PCNA;RHNO1;SPIN1;SAFB;MACROH2A2;ARID2;RNF2;CHD1;DCAF1;HDAC6;WDR5;MDC1;SMARCE1;SETMAR;HDAC2;TET2;ACTL6A;H1-2;RCCD1;TAF1;BEND3;KDM5A;SMARCC1;TRRAP;KMT2E;SOX15;KDM4D;SUZ12;MBTD1;TDRD3;NR3C1;PYGO1;SMARCAD1;TRIM24;MCRS1;BRD4;USP16;NCOR1;MTF2;TADA3;BRD3;PRKAA2;PHIP;SMYD2;BRD9;ZNF618;HDAC1;HMGN4;HMGN1;RUVBL1;L3MBTL4;H4C8;MTA2;EPC2;RNF169;PRDM6;PWP1;CBX3;HDAC5","GO:0006325","chromatin organization",1.20166666666667e-08,428
"GO:0006334",1e-10,1.20166666666667e-08,NA,-0.743576557637156,-3.18391976842175,106,"H1-4;H1-3;H3C2;H2BC9;H3C12;H3C11;CHAF1B;H2BC7;H1-1;H1-5;H2BC13;H2BC14;ASF1B;H2BC4;H2BC6;SSRP1;H3C3;H2BC15;HMGB2;H2BC17;H2BC10;ATAD2;SART3;H3C6;H4C5;RBBP4;H3C10;H4C1;H3C1;H3C8;H4C13;SET;H2BC3;H4C2;H4C4;H4C3;H4C15;H4C14;NASP;SUPT16H;H3C15;H3C14;H3C13;H2BC11;H3C7;CHAF1A;H4C6;MCM2;H2BC8;H2AX;SETSIP;H3-3B;H4C12;H4C11;HP1BP3;KAT6A;H3-4;H1-0;MACROH2A2;DNAJC9","GO:0006334","nucleosome assembly",1.20166666666667e-08,106
