"Gene_stable_ID","Gene_name","Gene_description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","neg_log10_pvalue"
"ENSG00000137491","SLCO2B1","solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962]",120.79751134939,4.64826647441137,0.448766332257517,10.3578770070123,3.85421572783386e-25,1.24348562027104e-20,"Upregulated",24.4140639807066
"ENSG00000244694","PTCHD4","patched domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21345]",1310.63624300652,2.73811171779728,0.266345358630757,10.2803057349057,8.64529198297322e-25,1.39461527623332e-20,"Upregulated",24.0632203344372
"ENSG00000224294","PINCR","p53-induced noncoding RNA [Source:HGNC Symbol;Acc:HGNC:53590]",12.4538361108621,3.57517089868,0.369792562743936,9.66804435479045,4.12178952307899e-22,3.32453238457744e-18,"Upregulated",21.3849141890001
"ENSG00000140450","ARRDC4","arrestin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28087]",4629.30457285455,2.36439888546454,0.253378884343344,9.33147563417569,1.04407032824796e-20,6.73696820005278e-17,"Upregulated",19.9812702464091
"ENSG00000118971","CCND2","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]",9723.58835102753,2.93512628852378,0.346818275804117,8.46300928553587,2.60564956837456e-17,9.34067466938536e-14,"Upregulated",16.5840839925969
"ENSG00000198885","ITPRIPL1","ITPRIP like 1 [Source:HGNC Symbol;Acc:HGNC:29371]",230.99861724236,-2.2264068789035,0.229203393597879,-9.71367327487991,2.63660170852104e-22,2.83548936406714e-18,"Downregulated",21.5789554708345
"ENSG00000176834","VSIG10","V-set and immunoglobulin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:26078]",1653.40129087749,-0.509913084387653,0.0637641800247138,-7.99685786267495,1.27634433514882e-15,2.94133552035045e-12,"Downregulated",14.8940321448302
"ENSG00000121957","GPSM2","G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]",1717.36044910592,-1.33341389997468,0.171345693888031,-7.78200998063029,7.13812351955772e-15,1.00129251787605e-11,"Downregulated",14.1464159411943
"ENSG00000168298","H1-4","H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]",4547.56824250408,-2.1501862889311,0.283358576812179,-7.58821671509286,3.2433813431306e-14,3.60831766460078e-11,"Downregulated",13.4890019858072
"ENSG00000121152","NCAPH","non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]",756.24872580628,-2.13814729918461,0.284116342280456,-7.52560476466367,5.24768570696664e-14,5.64353613212882e-11,"Downregulated",13.2800321835062
