"Gene_name","log2FoldChange","pvalue","padj","Comparison","neg_log10_pvalue"
"LMNB1",-1.25827777760939,1.50453500656881e-309,4.23580337742211e-307,"HAEC_IR",307.652655568589
"MKI67",-1.56363212959129,9.46571610831601e-302,2.60296186332053e-299,"HAEC_IR",301.023846524846
"MCM7",-1.14585563513149,6.93031050268022e-250,1.47653074844941e-247,"HAEC_IR",249.159247307007
"MCM3",-1.13979250916431,1.39183300739839e-240,2.83753955103142e-238,"HAEC_IR",239.856412868401
"MCM4",-1.24459514783452,1.174404862565e-229,2.23979843506449e-227,"HAEC_IR",228.93018215925
"PTCHD4",2.59460024102578,7.42796104476052e-205,1.18691791045636e-202,"HAEC_IR",204.129130382543
"MCM10",-1.5822857018965,1.68880255069234e-152,1.74403893106215e-150,"HAEC_IR",151.772421123761
"GDF15",1.37503042403339,4.17995097951732e-141,3.96994621343795e-139,"HAEC_IR",140.378828811395
"MCM5",-1.08688885054115,1.74200439317594e-140,1.62832655708371e-138,"HAEC_IR",139.758950754076
"MCM2",-1.30621561777078,4.27529405982847e-119,3.3258693822659e-117,"HAEC_IR",118.369034008616
"MCM6",-1.08716173031387,5.46056102994419e-108,3.80934536274779e-106,"HAEC_IR",107.262762734641
"MCM8",-1.45294732993485,1.23983805883784e-64,4.98655276419322e-63,"HAEC_IR",63.9066350364071
"CDKN1A",0.534356762771646,1.51403576376843e-44,4.24738217999521e-43,"HAEC_IR",43.8198638660355
"MCMBP",-0.523033475984802,4.23017928732459e-44,1.17971120242853e-42,"HAEC_IR",43.3736412255692
"PURPL",3.5716848254241,0.000225168690869266,0.000941647103513222,"HAEC_IR",3.64749199715998
"MCM3AP",-0.126050046795395,0.00999095830012523,0.0299159499670374,"HAEC_IR",2.00039285366629
"MCMDC2",-0.525397944253343,0.0873070114397803,0.189476325001318,"HAEC_IR",1.05895087763082
"CDKN2A",-0.204075324251842,0.107132713237524,0.222166041332358,"HAEC_IR",0.970077896028811
"MCM9",0.0229954942042531,0.772940517718898,0.872435581497433,"HAEC_IR",0.111853926289206
"PTCHD4",2.52827995946564,7.12729103165169e-180,5.17349363852343e-177,"HUVEC_IR",179.147075507113
"MCM7",-0.691762882342817,2.26516440991011e-121,6.88793642591856e-119,"HUVEC_IR",120.644900270594
"MCM10",-1.14623670103035,1.98360942948569e-111,5.07217947525988e-109,"HUVEC_IR",110.70254383587
"MCM4",-0.762047578229696,6.97387688165358e-111,1.76321547855021e-108,"HUVEC_IR",110.156525724022
"MCM3",-0.674771396892753,1.8582075895129e-105,4.09935168423719e-103,"HUVEC_IR",104.730905770459
"CDKN1A",0.876844386061947,1.08711636094945e-92,1.85320396621853e-90,"HUVEC_IR",91.9637239681367
"MCM2",-0.798787762641841,7.35598517658584e-88,1.13372861947626e-85,"HUVEC_IR",87.1333591546016
"LMNB1",-0.617738191263607,1.15295377894938e-78,1.491021030685e-76,"HUVEC_IR",77.9381881028958
"MCM5",-0.635253005467745,7.65151707542288e-73,8.4399233936846e-71,"HUVEC_IR",72.1162524482236
"GDF15",0.75156179197397,1.32351895214662e-66,1.15433424268229e-64,"HUVEC_IR",65.8782698354327
"MCM6",-0.790738393729262,4.12693017534184e-58,2.79711393992597e-56,"HUVEC_IR",57.3843728790073
"MKI67",-0.568756516763333,9.38336200532852e-49,4.77702289239598e-47,"HUVEC_IR",48.0276415284911
"MCM8",-0.908916658305296,6.73865291689804e-41,2.58759672245802e-39,"HUVEC_IR",40.1714269119556
"MCMBP",-0.495746065837824,1.29167664438884e-38,4.54145435188088e-37,"HUVEC_IR",37.8888461931009
"CDKN2A",1.38264858587547,6.11232603584258e-18,8.46918475729863e-17,"HUVEC_IR",17.2137934882362
"MCM3AP",-0.097648248459134,0.0130709480418223,0.0355392064810399,"HUVEC_IR",1.88369291170023
"MCMDC2",-0.387604595673069,0.0963195648767429,0.194506223535535,"HUVEC_IR",1.01628548800544
