"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"H1-3",-1.79483622678255,9.88131291682493e-324,3.11755422525827e-321,"HAEC_IR"
"H1-4",-1.68423077078355,2.14522782874567e-303,5.96852857905956e-301,"HAEC_IR"
"H2AC20",-1.29023471739011,5.17417685534662e-200,7.74456382608179e-198,"HAEC_IR"
"H3C11",-1.64255955060521,4.31193419886242e-141,4.07891727475589e-139,"HAEC_IR"
"CDKN2C",-1.55635173738378,7.00295770688941e-122,5.61399819695687e-120,"HAEC_IR"
"PARP1",-0.807241969814478,2.1012859377998e-119,1.6454738789082e-117,"HAEC_IR"
"H2BC9",-2.21505262794803,1.44049824179774e-98,8.97124327689231e-97,"HAEC_IR"
"CDCA7L",-0.659998563944256,2.01470692433681e-63,7.95422438291174e-62,"HAEC_IR"
"H1-1",-1.53649507079348,2.69167273356578e-29,5.25643009711785e-28,"HAEC_IR"
"NIBAN1",-1.35110470136782,5.56967853815534e-28,1.03632830644245e-26,"HAEC_IR"
"PTMA",-0.285742702484167,2.20599387409271e-27,3.99154928297004e-26,"HAEC_IR"
"HNRNPH1",-0.292231493860094,9.83638285615597e-22,1.42887357595352e-20,"HAEC_IR"
"ITPRIPL1",-2.24243401321019,2.40790277623049e-21,3.44909102090096e-20,"HAEC_IR"
"EML4",-0.253520043977612,1.50118112621947e-07,9.19964562165437e-07,"HAEC_IR"
"SLFN11",-0.191795825290606,1.5417504947294e-07,9.43603971269554e-07,"HAEC_IR"
"VSIG10",-0.278333165721873,8.59236827659629e-07,4.88229018196121e-06,"HAEC_IR"
"LIG3",-0.33513612723774,2.14862459004053e-06,1.16543171857497e-05,"HAEC_IR"
"CBX2",-0.354062423291099,0.000133697063108567,0.000577920278825536,"HAEC_IR"
"GLUL",-0.12896515096616,0.000304381786048025,0.0012473271284439,"HAEC_IR"
"PHB2",-0.109573574427873,0.000657546941982729,0.00254823044678537,"HAEC_IR"
"H2BC9",-0.849643262950872,1.03514447748279e-116,2.94845835852123e-114,"HUVEC_IR"
"H2AC20",-0.654178632375274,8.76636528237698e-89,1.3604189764417e-86,"HUVEC_IR"
"H1-4",-0.732458450635157,1.96479452054231e-76,2.41594569952148e-74,"HUVEC_IR"
"H1-3",-0.716021606216873,3.14373302897648e-75,3.72317266410677e-73,"HUVEC_IR"
"PARP1",-0.444092163634413,2.40635607549156e-50,1.2770713304413e-48,"HUVEC_IR"
"H3C11",-0.620750189002763,4.68653380989252e-32,1.25842940083773e-30,"HUVEC_IR"
"HNRNPH1",-0.286096831958859,3.28418718573488e-19,4.85869691343894e-18,"HUVEC_IR"
"ITPRIPL1",-0.804120011652499,1.79402094544533e-16,2.22052031432402e-15,"HUVEC_IR"
"H1-1",-0.651868304744615,2.51060463678874e-14,2.67615469147419e-13,"HUVEC_IR"
"SLFN11",-0.283038144438787,2.62308008798557e-14,2.78549070976174e-13,"HUVEC_IR"
"CDCA7L",-0.287741153547805,3.29855364735562e-14,3.48633415560339e-13,"HUVEC_IR"
"NIBAN1",-0.905193030344811,1.46241311133577e-10,1.1656826011788e-09,"HUVEC_IR"
"CBX2",-0.346738119530389,1.91911159980403e-08,1.25937151410878e-07,"HUVEC_IR"
"PTMA",-0.174740271953732,7.39314197557162e-08,4.58040971184781e-07,"HUVEC_IR"
"EML4",-0.241219142108234,9.32624646075274e-08,5.71979280075928e-07,"HUVEC_IR"
"LIG3",-0.203939835426462,5.4362645408488e-05,0.000236883858826839,"HUVEC_IR"
"PHB2",-0.124250281118,0.000344092654600412,0.0013185921174759,"HUVEC_IR"
"CDKN2C",-0.191740672345954,0.00099249745219081,0.00349228736031237,"HUVEC_IR"
"GLUL",-0.116578964189087,0.0010191214625493,0.00358148854447671,"HUVEC_IR"
"VSIG10",-0.124538381353478,0.0170594753063464,0.0449393951467347,"HUVEC_IR"
