"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"RND3",1.42643958719671,1.7527761675783e-311,5.05504921793405e-309,"HAEC_IR"
"PTCHD4",2.59460024102578,7.42796104476052e-205,1.18691791045636e-202,"HAEC_IR"
"CCND3",0.538888051871178,1.31964079019111e-30,2.66837831026382e-29,"HAEC_IR"
"TNFRSF10C",1.01804368038374,4.00639756243267e-28,7.48990481849568e-27,"HAEC_IR"
"PAM",0.363855122270564,1.09561186360169e-23,1.70911114527153e-22,"HAEC_IR"
"SARAF",0.351480068330285,7.17022994577525e-22,1.04736731307992e-20,"HAEC_IR"
"TMEM59",0.322898003537251,1.13679871518002e-17,1.38721118757958e-16,"HAEC_IR"
"ARRDC4",0.806809694830032,2.21912248192382e-07,1.34357469470088e-06,"HAEC_IR"
"GPR155",0.672644945138444,2.05536516631722e-05,9.89966004444725e-05,"HAEC_IR"
"TNFSF13B",1.22852313907799,0.000868026631268585,0.00330137693838385,"HAEC_IR"
"TMED4",0.153137022631019,0.00177628382811633,0.00631689266934181,"HAEC_IR"
"CLDN1",1.00871438298084,0.0110514708694443,0.0327555125443649,"HAEC_IR"
"PTCHD4",2.52827995946564,7.12729103165169e-180,5.17349363852343e-177,"HUVEC_IR"
"PAM",0.442227960117689,3.19139255872254e-39,1.1508447973778e-37,"HUVEC_IR"
"CCND3",0.478729327596454,1.57179948517601e-29,3.79085016242558e-28,"HUVEC_IR"
"TNFRSF10C",0.66266414802023,7.42072622999339e-28,1.66315917955489e-26,"HUVEC_IR"
"TMEM59",0.332322112122703,1.33893385833559e-21,2.27558079156099e-20,"HUVEC_IR"
"RND3",0.258169269830241,1.89438775689042e-14,2.03959393806451e-13,"HUVEC_IR"
"SARAF",0.220136870032974,1.21686381277075e-08,8.11074333974153e-08,"HUVEC_IR"
"GPR155",0.718078783207684,1.54873718078331e-07,9.25868332677632e-07,"HUVEC_IR"
"ARRDC4",0.891834943317297,3.61490158712176e-07,2.08037124075227e-06,"HUVEC_IR"
"TNFSF13B",0.927121132735852,0.00294865425930564,0.00940876604408613,"HUVEC_IR"
"CLDN1",1.02033408065557,0.00784319222354236,0.0224968147118101,"HUVEC_IR"
"TMED4",0.0994171578442472,0.0188032776661801,0.0489839091299351,"HUVEC_IR"
"CLDN1",6.1255294774043,0,0,"IMR90_IR"
"CCND3",2.03905549046501,2.06074796380869e-160,1.68077991459136e-158,"IMR90_IR"
"ARRDC4",1.99496169161697,4.18436941178149e-92,1.6948119372617e-90,"IMR90_IR"
"PTCHD4",2.85564218990809,8.05046437626679e-92,3.24416006066277e-90,"IMR90_IR"
"RND3",0.928036785522324,1.10516194454388e-42,1.93961214968732e-41,"IMR90_IR"
"PAM",0.726677898708644,1.35984024939192e-41,2.32657725427571e-40,"IMR90_IR"
"TNFRSF10C",2.60807495347141,1.55752205627099e-31,2.03254494751506e-30,"IMR90_IR"
"TMED4",0.661687059026747,6.6301651070467e-27,7.46591074181675e-26,"IMR90_IR"
"SARAF",0.398423197247267,2.82559593040525e-12,1.67649209463207e-11,"IMR90_IR"
"TMEM59",0.383076994621884,2.28881721268185e-11,1.28079113574321e-10,"IMR90_IR"
"GPR155",0.616474409441715,4.48544164067889e-10,2.30624520972384e-09,"IMR90_IR"
"TNFSF13B",0.868419468318939,0.00913443583922571,0.0212115565470943,"IMR90_IR"
