Filename,Cell,Type,Condition,Comparison,TypeII
SRR9016146,HAEC,IR_minus,Control,1,Control
SRR9016147,HAEC,IR_minus,Control,1,Control
SRR9016148,HAEC,IR,Senescent,1,IR
SRR9016149,HAEC,IR,Senescent,1,IR
SRR9016150,HAEC,IR,Senescent,1,IR
SRR9016151,HUVEC,IR_minus,Control,2,Control
SRR9016152,HUVEC,IR_minus,Control,2,Control
SRR9016153,HUVEC,IR_minus,Control,2,Control
SRR9016154,HUVEC,IR,Senescent,2,IR
SRR9016155,HUVEC,IR,Senescent,2,IR
SRR9016156,HUVEC,IR,Senescent,2,IR
SRR9016157,IMR_90,PDL15,Control,3_4,Control
SRR9016158,IMR_90,PDL15,Control,3_4,Control
SRR9016159,IMR_90,IR,Senescent,3,IR
SRR9016160,IMR_90,IR,Senescent,3,IR
SRR9016161,IMR_90,PDL52,Senescent,4,Replicative_Exhaustion
SRR9016162,IMR_90,PDL52,Senescent,4,Replicative_Exhaustion
SRR9016163,WI_38,Dox_minus,Control,5,Control
SRR9016164,WI_38,Dox_minus,Control,5,Control
SRR9016165,WI_38,Dox,Senescent,5,Dox
SRR9016166,WI_38,Dox,Senescent,5,Dox
SRR9016167,WI_38,EV,Control,6,Control
SRR9016168,WI_38,EV,Control,6,Control
SRR9016169,WI_38,HRAS,Senescent,6,HRAS
SRR9016170,WI_38,HRAS,Senescent,6,HRAS
SRR9016171,WI_38,Dox_minus,Control,5,Control
SRR9016172,WI_38,Dox_minus,Control,5,Control
SRR9016173,WI_38,Dox,Senescent,5,Dox
SRR9016174,WI_38,Dox,Senescent,5,Dox
SRR9016175,WI_38,IR_minus,Control,7,Control
SRR9016176,WI_38,IR_minus,Control,7,Control
SRR9016177,WI_38,IR,Senescent,7,IR
SRR9016178,WI_38,IR,Senescent,7,IR
SRR9016179,WI_38,Replicative_Exhaustion,Senescent,8,Replicative_Exhaustion
SRR9016180,WI_38,Replicative_Exhaustion,Senescent,8,Replicative_Exhaustion
SRR9016181,WI_38,Proliferating,Control,8,Control
SRR9016182,WI_38,Proliferating,Control,8,Control
